id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
178330,Ило снова зашагал в кромешную темь.,Ило снова вызашагал в кромешную темь.,зашагал,вызашагал,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
147778,К Данилушке-то он крепко прилип.,К Данилушке-то он крепко вприлип.,прилип,вприлип,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
205990,Потом додумает — если охота будет.,Потом вдодумает — если охота будет.,додумает,вдодумает,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
180638,Ну да вы сами дальше поймете!,Ну да вы сами дальше впоймете!,поймете,впоймете,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
135587,Потом стали крупниться всасывать один себя.,Потом стали крупниться вывсасывать один себя.,всасывать,вывсасывать,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,4
238323,Не удружил же ничем таким.,Не разудружил же ничем таким.,удружил,разудружил,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
178430,Игрецу привиделась живая улыбка Настки.,Игрецу спривиделась живая улыбка Настки.,привиделась,спривиделась,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
212444,Ило почувствовал совсем неуместный укол досады.,Ило распочувствовал совсем неуместный укол досады.,почувствовал,распочувствовал,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
120264,Отец Да Коста был поражен.,Отец Да Коста был выпоражен.,поражен,выпоражен,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
164960,Тот принял меч и молвил.,Тот впринял меч и молвил.,принял,впринял,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
157047,С Нюрой чудо не подружилось.,С Нюрой чудо не сподружилось.,подружилось,сподружилось,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
183569,Так наш Ави не растерялся.,Так наш Ави не врастерялся.,растерялся,врастерялся,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
182010,Я действительно ушел с Зоны человеком.,Я действительно увышел с Зоны человеком.,ушел,увышел,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
203870,Наконец Эшиале удалось выровнять дыхание.,Наконец Эшиале вудалось выровнять дыхание.,удалось,вудалось,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
176467,"Мимо лавки прошел Исхак, беглец!","Мимо лавки выпрошел Исхак, беглец!",прошел,выпрошел,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,4
212276,Торисен пополз к первой башенке.,Торисен впополз к первой башенке.,пополз,впополз,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
160637,Эбони могла понять цель этих заверений.,Эбони могла впонять цель этих заверений.,понять,впонять,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,4
204538,Тэлли же сумела отбить мяч!,Тэлли же сумела вотбить мяч!,отбить,вотбить,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
197051,Тебе показывали на экране допрос Оана?,Тебе выпоказывали на экране допрос Оана?,показывали,выпоказывали,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
120868,Джейм поспешно выбила из кремня искру.,Джейм поспешно вывбила из кремня искру.,выбила,вывбила,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
195162,Разве пряничком одарит из широкого кармана.,Разве пряничком разодарит из широкого кармана.,одарит,разодарит,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
213916,Там Климога тоже наверняка поджидает.,Там Климога тоже наверняка выподжидает.,поджидает,выподжидает,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
199261,И называлась эта строянка Раззор.,И вназывалась эта строянка Раззор.,называлась,вназывалась,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
233215,Раз к ней и забрался хитник.,Раз к ней и вызабрался хитник.,забрался,вызабрался,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
224340,И Айвен тоже выдал пару комментариев.,И Айвен тоже вывдал пару комментариев.,выдал,вывдал,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
163187,Шон поднял дипломат и потряс им.,Шон вподнял дипломат и потряс им.,поднял,вподнял,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
195101,Не посмотрели - струганный или обгрызали?,Не впосмотрели - струганный или обгрызали?,посмотрели,впосмотрели,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
207773,"Слава Богу, тут вступила Гретель.","Слава Богу, тут вывступила Гретель.",вступила,вывступила,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
217092,Пайн схватил Доуза за плечо.,Пайн высхватил Доуза за плечо.,схватил,высхватил,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
142256,Миган тяжело повалился на доски.,Миган тяжело вповалился на доски.,повалился,вповалился,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
185185,Син с интересом изучал Нейманда.,Син с интересом подизучал Нейманда.,изучал,подизучал,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
172945,Лиана Тайллефер и Рошфор испарились.,Лиана Тайллефер и Рошфор подиспарились.,испарились,подиспарились,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
195219,Оффченко не хотелось сбиваться на пафос.,Оффченко не хотелось сподбиваться на пафос.,сбиваться,сподбиваться,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
130355,"Нибы тоже удирали, гуды оборвались.","Нибы тоже увыдирали, гуды оборвались.",удирали,увыдирали,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
149441,Весрейдау отдал честь и приказал готовиться.,Весрейдау вотдал честь и приказал готовиться.,отдал,вотдал,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
228040,И таки попала – в Кугеля.,И таки впопала – в Кугеля.,попала,впопала,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
120348,Она вновь выползала на эту.,Она вновь вывползала на эту.,выползала,вывползала,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
172437,Я отвел Андре в сторону.,Я вотвел Андре в сторону.,отвел,вотвел,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
125633,Майкл отвел Розена в сторону.,Майкл вотвел Розена в сторону.,отвел,вотвел,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
167416,Один из всего уничтоженного отделения!,Один из всего изуничтоженного отделения!,уничтоженного,изуничтоженного,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
219015,Чтобы больше не размыло ее весной!,Чтобы больше не выразмыло ее весной!,размыло,выразмыло,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,1
189469,Никто не вышел на звон.,Никто не подовышел на звон.,вышел,подовышел,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
142379,Вперед больше не приходилось идти.,Вперед больше не вприходилось идти.,приходилось,вприходилось,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
193657,Вот так Ветку я раскопала!,Вот так Ветку я враскопала!,раскопала,враскопала,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
160913,Аведжийцы поклонились и Конрад продолжил спуск.,Аведжийцы припоклонились и Конрад продолжил спуск.,поклонились,припоклонились,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
129301,Я посылаю людей вниз зачистить разработки.,Я выпосылаю людей вниз зачистить разработки.,посылаю,выпосылаю,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
186197,Не ново — и не пройдет.,Не ново — и не выпройдет.,пройдет,выпройдет,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
146874,Якорь потащил перлинь в клюз.,Якорь впотащил перлинь в клюз.,потащил,впотащил,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
189255,Уж если офицеры признали положение опасным!..,Уж если офицеры упризнали положение опасным!..,признали,упризнали,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,1
125557,"Прибегаешь только поесть, вся взмыленная.","Вприбегаешь только поесть, вся взмыленная.",Прибегаешь,Вприбегаешь,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,3
180924,И он неправильно ей маску надел.,И он неправильно ей маску внадел.,надел,внадел,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,1
231372,Один запасной – вдруг первый погаснет.,Один запасной – вдруг первый припогаснет.,погаснет,припогаснет,Morphology,Word Formation,add_verb_prefix,add_verb_prefix,librusec,2
