id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
134852,Для человека не такие дома строят.,Для человеком не такие дома строят.,человека,человеком,Syntax,Government,adposition_government,adp_government_case,librusec,4
72035,Только отнесу покупки в дом.,Только отнесу покупки в домом.,дом,домом,Syntax,Government,adposition_government,adp_government_case,librusec,2
21022,И поэтому на сбор не полетела.,И поэтому на сбору не полетела.,сбор,сбору,Syntax,Government,adposition_government,adp_government_case,librusec,2
134143,Я тут многое нашел про нее.,Я тут многое нашел про ней.,нее,ней,Syntax,Government,adposition_government,adp_government_case,librusec,2
72168,Пока же просто дружи с ним.,Пока же просто дружи с нему.,ним,нему,Syntax,Government,adposition_government,adp_government_case,librusec,3
122538,Зеленый рай редел прямо на глазах.,Зеленый рай редел прямо на глазам.,глазах,глазам,Syntax,Government,adposition_government,adp_government_case,librusec,3
32697,"Просто женщины, следующие за лагерем?","Просто женщины, следующие за лагерю?",лагерем,лагерю,Syntax,Government,adposition_government,adp_government_case,librusec,3
111035,Джейс почти нес его до постели.,Джейс почти нес его до постелью.,постели,постелью,Syntax,Government,adposition_government,adp_government_case,librusec,2
59439,Лок твердо взял ее за локоть.,Лок твердо взял ее за локтю.,локоть,локтю,Syntax,Government,adposition_government,adp_government_case,librusec,2
119400,Сейчас поставим актеришку на место!,Сейчас поставим актеришку на месту!,место,месту,Syntax,Government,adposition_government,adp_government_case,librusec,2
145037,Эш тронул ее за руку.,Эш тронул ее за руке.,руку,руке,Syntax,Government,adposition_government,adp_government_case,librusec,2
128065,После этого Кики умолк окончательно.,После этим Кики умолк окончательно.,этого,этим,Syntax,Government,adposition_government,adp_government_case,librusec,2
123540,Арсобадес и Игер стояли в дверях.,Арсобадес и Игер стояли в дверям.,дверях,дверям,Syntax,Government,adposition_government,adp_government_case,librusec,4
128531,У доктора даже рука заболела.,У доктором даже рука заболела.,доктора,доктором,Syntax,Government,adposition_government,adp_government_case,librusec,3
71982,Алфрик поднял на него взгляд.,Алфрик поднял на нему взгляд.,него,нему,Syntax,Government,adposition_government,adp_government_case,librusec,2
60422,Эрриан снова взяла мать за руку.,Эрриан снова взяла мать за руке.,руку,руке,Syntax,Government,adposition_government,adp_government_case,librusec,2
61540,Вот мать разучивает роль для театра.,Вот мать разучивает роль для театром.,театра,театром,Syntax,Government,adposition_government,adp_government_case,librusec,2
94871,Руку рукою отвел: от письма.,Руку рукою отвел: от письмом.,письма,письмом,Syntax,Government,adposition_government,adp_government_case,librusec,2
69408,Быка выпустили прямо на площадь!,Быка выпустили прямо на площадью!,площадь,площадью,Syntax,Government,adposition_government,adp_government_case,librusec,2
2260,Какого черта сестра делает в городе?,Какого черта сестра делает в городу?,городе,городу,Syntax,Government,adposition_government,adp_government_case,librusec,3
43907,Он ходил у Агеты в любимчиках.,Он ходил у Агеты в любимчикам.,любимчиках,любимчикам,Syntax,Government,adposition_government,adp_government_case,librusec,3
68809,Дженива с изумлением посмотрела на него.,Дженива с изумлению посмотрела на него.,изумлением,изумлению,Syntax,Government,adposition_government,adp_government_case,librusec,3
121448,На склоны нанесет много снега.,На склонам нанесет много снега.,склоны,склонам,Syntax,Government,adposition_government,adp_government_case,librusec,3
62679,Аннеми налила суп в тарелку.,Аннеми налила суп в тарелкой.,тарелку,тарелкой,Syntax,Government,adposition_government,adp_government_case,librusec,2
8022,Алекс медленно опустила руки на колени.,Алекс медленно опустила руки на коленам.,колени,коленам,Syntax,Government,adposition_government,adp_government_case,librusec,2
23566,Яттмур взяла Грана за руку.,Яттмур взяла Грана за руке.,руку,руке,Syntax,Government,adposition_government,adp_government_case,librusec,2
53163,За ней на крыльцо вышел Кейто.,За ней на крыльцу вышел Кейто.,крыльцо,крыльцу,Syntax,Government,adposition_government,adp_government_case,librusec,3
118361,Глен ловко увел партнершу в сторону.,Глен ловко увел партнершу в стороной.,сторону,стороной,Syntax,Government,adposition_government,adp_government_case,librusec,2
12069,И вот сидят рядом на конике.,И вот сидят рядом на конику.,конике,конику,Syntax,Government,adposition_government,adp_government_case,librusec,2
146813,Я пришлю вам в комнату воду.,Я пришлю вам в комнатой воду.,комнату,комнатой,Syntax,Government,adposition_government,adp_government_case,librusec,2
88506,Коуди провел ладонью по лицу.,Коуди провел ладонью по лицом.,лицу,лицом,Syntax,Government,adposition_government,adp_government_case,librusec,2
135682,"Капли, немедленно уходи из дома.","Капли, немедленно уходи из домом.",дома,домом,Syntax,Government,adposition_government,adp_government_case,librusec,3
7199,Пальцы Лиара держала на поясе.,Пальцы Лиара держала на поясу.,поясе,поясу,Syntax,Government,adposition_government,adp_government_case,librusec,2
111557,Герри проводил гостью до машины.,Герри проводил гостью до машиной.,машины,машиной,Syntax,Government,adposition_government,adp_government_case,librusec,2
54610,Сэр Ричард вздохнул во сне.,Сэр Ричард вздохнул во сну.,сне,сну,Syntax,Government,adposition_government,adp_government_case,librusec,3
4264,Агент точно не придет в восторг.,Агент точно не придет в восторгу.,восторг,восторгу,Syntax,Government,adposition_government,adp_government_case,librusec,3
54562,Леди Колдекотт пристально посмотрела на сына.,Леди Колдекотт пристально посмотрела на сыну.,сына,сыну,Syntax,Government,adposition_government,adp_government_case,librusec,3
77771,Все по возможности спешили вперед.,Все по возможностью спешили вперед.,возможности,возможностью,Syntax,Government,adposition_government,adp_government_case,librusec,2
67043,Лиа быстро воздела очи к небу.,Лиа быстро воздела очи к небом.,небу,небом,Syntax,Government,adposition_government,adp_government_case,librusec,2
