id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
81076,"Что удивительного в странном зрелище, которое тогда представляет мир?","Что удивительного в странном зрелище, которую тогда представляет мир?",которое,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,3
57777,"Той легкостью, о которой мечтал в Милане.","Той легкостью, о котором мечтал в Милане.",которой,котором,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,4
69785,"Так она сидела с каждым больным, которого оперировал папа.","Так она сидела с каждым больным, которую оперировал папа.",которого,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,3
60414,"Несутся на пожар, который я заметила из номера.","Несутся на пожар, которую я заметила из номера.",который,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,4
57810,"И еще о спорте, который называют большим.","И еще о спорте, которую называют большим.",который,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,2
58461,"Именно та, на которой изображались Светка с Романом.","Именно та, на котором изображались Светка с Романом.",которой,котором,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,5
51662,"Видением, в которое теперь верил.","Видением, в которую теперь верил.",которое,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,3
72718,"Ну про этого, который Демьяну зарядил...","Ну про эту, который Демьяну зарядил...",этого,эту,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,2
77587,"Магнитофон Форсы помнишь, который ты в сквере разбил?","Магнитофон Форсы помнишь, которую ты в сквере разбил?",который,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,4
51166,"А первый магазин, в который ее назначили директором?","А первый магазин, в которую ее назначили директором?",который,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,3
64164,"Ислонг – единственный город, за который зодчий был спокоен.","Ислонг – единственный город, за которую зодчий был спокоен.",который,которую,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,3
52427,"Пара, в которой у мужчин встанет, получит приз!","Пара, в котором у мужчин встанет, получит приз!",которой,котором,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,5
48876,"Или та хорошенькая инспекторша, к которой ты так привязан?","Или та хорошенькая инспекторша, к которому ты так привязан?",которой,которому,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,3
74653,"Это и была Баба-скала, о которой говорил дед Пуктум.","Это и была Баба-скала, о котором говорил дед Пуктум.",которой,котором,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,4
63469,"Единственная парочка, которой, похоже, Вит здесь доверял.","Единственная парочка, которому, похоже, Вит здесь доверял.",которой,которому,Syntax,Anaphor Agreement,anaphor_agreement_gender,anaphor_agreement_gender,librusec,3
