id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
100773,"Ну, про ту, с которой Вильям жил...","Ну, про ту, с которыми Вильям жил...",которой,которыми,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
93293,"За ней старикан, который тебе на меч бросился.","За ней стариканы, который тебе на меч бросился.",старикан,стариканы,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
86090,"И остановились на варианте, который получился сейчас.","И остановились на вариантах, который получился сейчас.",варианте,вариантах,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,3
81904,"Баку – демон, который пожирал сны.","Баку – демоны, который пожирал сны.",демон,демоны,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,2
95454,"Сначала индусы, которых она стала понимать.","Сначала индус, которых она стала понимать.",индусы,индус,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,3
109111,"Все купили майки, которые я им подписал.","Все купили майку, которые я им подписал.",майки,майку,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,3
95851,"Или родственники, у которых он живет!","Или родственник, у которых он живет!",родственники,родственник,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,3
89178,"В смысле – тем, на которые писать.","В смысле – тому, на которые писать.",тем,тому,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
93185,"Да славится ее сила, которой исполнены все прочие силы.","Да славится ее сила, которыми исполнены все прочие силы.",которой,которыми,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
86372,"Теми, в которых членами состоят работники разных отраслей кинобизнеса.","Темью, в которых членами состоят работники разных отраслей кинобизнеса.",Теми,Темью,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,5
102002,"Но первой, в которой им посчастливилось служить вместе.","Но первыми, в которой им посчастливилось служить вместе.",первой,первыми,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
78862,"Станко был ниточкой, на которой еще держалась Илияшева жизнь.","Станко был ниточками, на которой еще держалась Илияшева жизнь.",ниточкой,ниточками,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
86974,"Мангогул вернулся к фаворитке, у которой уже сидел Селим.","Мангогул вернулся к фавориткам, у которой уже сидел Селим.",фаворитке,фавориткам,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
74104,"Пока я лишь изгнанник, которым играет судьба.","Пока я лишь изгнанники, которым играет судьба.",изгнанник,изгнанники,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,2
80405,"Весловилль, над которым в полной тишине медленно кружился снег.","Весловилли, над которым в полной тишине медленно кружился снег.",Весловилль,Весловилли,Syntax,Anaphor Agreement,anaphor_agreement_number,anaphor_agreement_number,librusec,4
