id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
209352,А под рукой топор оказался...,А под руком топор оказался...,рукой,руком,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
152209,Слишком больше потери нес противник.,Слишком больше потера нес противник.,потери,потера,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
183720,Могучая витальность учителя Бэлшуну подавляла меня.,Могучая витальность учителы Бэлшуну подавляла меня.,учителя,учителы,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
99363,Утром вызови Пензера и Гора.,Утрей вызови Пензера и Гора.,Утром,Утрей,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
316260,И взгляд в сторону отвела.,И взгляд в стороня отвела.,сторону,стороня,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
207842,Гуткад даже бровью не повел.,Гуткад даже бровьом не повел.,бровью,бровьом,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
56772,Однако Кир сразу уловил движение конуса.,Однако Кир сразу уловил движение конуси.,конуса,конуси,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
176188,Веня с облегчением закрыл книгу.,Веня с облегчениой закрыл книгу.,облегчением,облегчениой,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
271846,Поэтому я буду держаться гравирования.,Поэтому я буду держаться гравированиы.,гравирования,гравированиы,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,1
266692,Так что материала не получилось.,Так что материали не получилось.,материала,материали,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
257552,Для района Кхесани пришлите новых людей.,Для райони Кхесани пришлите новых людей.,района,райони,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
134761,Пригласить команду пиррян на Моналои!,Пригласить командя пиррян на Моналои!,команду,командя,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
120549,"Я капитан Борич, служба безопасности!","Я капитан Борич, служба безопасноста!",безопасности,безопасноста,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
76270,Через две недели завод пророс.,Через две недела завод пророс.,недели,недела,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
150763,Вместо ответа Мефодий материализовал оба слэйера.,Вместо ответи Мефодий материализовал оба слэйера.,ответа,ответи,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
276848,Или у тебя без права переписки?,Или у тебя без прави переписки?,права,прави,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
79029,Кикул стремительно развернулся в сторону Харпа.,Кикул стремительно развернулся в стороня Харпа.,сторону,стороня,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
186978,Из чего тут делать себе проблему?,Из чего тут делать себе проблемя?,проблему,проблемя,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
164844,Асатори согнулся и подставил Сутоку спину.,Асатори согнулся и подставил Сутоку спиня.,спину,спиня,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
70288,В секторе Лапласа кипела работа.,В сектори Лапласа кипела работа.,секторе,сектори,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
225149,Медный Арей Сарпедона смирил копием Менетида.,Медный Арей Сарпедона смирил копиой Менетида.,копием,копиой,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
47090,Почему бы реке не вывести куда-нибудь?,Почему бы рекю не вывести куда-нибудь?,реке,рекю,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,1
111312,"Более того, знала жертву лично.","Более того, знала жертвя лично.",жертву,жертвя,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
178761,Граис оперся руками о край кровати.,Граис оперся руками о край кровата.,кровати,кровата,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
299783,Я вопросительно поднял глаза на Легера.,Я вопросительно поднял глазы на Легера.,глаза,глазы,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
286956,Харп оставил вопрос старика без внимания.,Харп оставил вопрос старикы без внимания.,старика,старикы,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
80053,Зато сейчас крутой до невозможности.,Зато сейчас крутой до невозможноста.,невозможности,невозможноста,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
242589,Настоятель взглядом переадресовал вопрос Хесробу.,Настоятель взглядой переадресовал вопрос Хесробу.,взглядом,взглядой,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,1
45810,Всегда над песнею надежды золотой.,Всегда над песнеом надежды золотой.,песнею,песнеом,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
284577,Стил продолжал заваливать дом актрисы цветами.,Стил продолжал заваливать дом актрися цветами.,актрисы,актрися,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
87672,Первым достал два билета Ангел.,Первым достал два билети Ангел.,билета,билети,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
80873,А на яхте Дмитрий удивил Степана.,А на яхти Дмитрий удивил Степана.,яхте,яхти,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
134147,Чейт сделал шаг из капсулы.,Чейт сделал шаг из капсуля.,капсулы,капсуля,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,3
315878,Все равно яхту строить тебе.,Все равно яхтя строить тебе.,яхту,яхтя,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
162577,Да продлятся дни Круга Рудеев!,Да продлятся дни Кругы Рудеев!,Круга,Кругы,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,2
53537,Но Ом не был и человеком.,Но Ом не был и человекой.,человеком,человекой,Morphology,Word Inflection,change_declension_ending,change_declension_ending,librusec,1
