id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
270061,В этом доме есть выпить?,В этом доми есть выпить?,доме,доми,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
307820,Цира властным жестом велела ему отлеживаться.,Цира властным жестой велела ему отлеживаться.,жестом,жестой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
206361,Раймондюкас сидел за письменным столом.,Раймондюкас сидел за письменным столой.,столом,столой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
135637,Шикульский Дмитрий Романович собственной депутатской персоной.,Шикульский Дмитрий Романович собственной депутатской персоном.,персоной,персоном,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
172199,И за ее званые вечера.,И за ее званые вечеры.,вечера,вечеры,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,1
16582,Он за авторитета у востряковских?,Он за авторитети у востряковских?,авторитета,авторитети,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
245951,У Фритилы душа тяжким гневом налилась.,У Фритилы душа тяжким гневой налилась.,гневом,гневой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
33205,А чтобы одним только футболом жить...,А чтобы одним только футболой жить...,футболом,футболой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
240344,Им самим наши болота понадобились.,Им самим наши болоты понадобились.,болота,болоты,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
336112,Так я ту руку найду.,Так я ту рукя найду.,руку,рукя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
235797,Он каждого подбадривал таким способом.,Он каждого подбадривал таким способой.,способом,способой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
189231,Мне не надо такого сна!..,Мне не надо такого сни!..,сна,сни,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
191375,Но я ждал этого предложения.,Но я ждал этого предложениы.,предложения,предложениы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
184948,Феггаттурис поскреб указательным пальцем висок.,Феггаттурис поскреб указательным пальцой висок.,пальцем,пальцой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
40943,"Что, душу небесною пищей питая.","Что, душу небесною пищом питая.",пищей,пищом,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
226067,И кружку для моего друга!,И кружку для моего други!,друга,други,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
206437,А какого розыска он начальник?,А какого розыскы он начальник?,розыска,розыскы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
324497,Кей повел светящимся шариком перед собой.,Кей повел светящимся шарикой перед собой.,шариком,шарикой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
196301,Но есть оружие завтрашнего дня.,Но есть оружие завтрашнего дны.,дня,дны,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
295837,Диуран вырубил мечом кусок этой сети.,Диуран вырубил мечом кусок этой сетя.,сети,сетя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
52171,А боя настоящего не получилось.,А боы настоящего не получилось.,боя,боы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
224182,Ему стало жаль эти лица.,Ему стало жаль эти лицы.,лица,лицы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
33907,В детстве моем неусыпно имел попеченье.,В детстви моем неусыпно имел попеченье.,детстве,детстви,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
155259,Тогда как насчет специального коктейля Уорбартонов?,Тогда как насчет специального коктейлы Уорбартонов?,коктейля,коктейлы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,1
26482,Тебе я к хохоту такому?,Тебе я к хохоти такому?,хохоту,хохоти,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
330612,В кафе на Таганской сидели.,В кафи на Таганской сидели.,кафе,кафи,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
152845,А Хупер — только случайным любовником.,А Хупер — только случайным любовникой.,любовником,любовникой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
306859,Она одна на покинутой пустоши.,Она одна на покинутой пустоше.,пустоши,пустоше,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
247225,И нежной заботой моей охранен.,И нежной заботом моей охранен.,заботой,заботом,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
51166,"Хотя, разводили по полной программе.","Хотя, разводили по полной программю.",программе,программю,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
71801,И вы обменяетесь победным взглядом Коломбин.,И вы обменяетесь победным взглядой Коломбин.,взглядом,взглядой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
210596,Виираппан протянул Рафу тонкую костяную палочку.,Виираппан протянул Рафу тонкую костяную палочкя.,палочку,палочкя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
207538,Смог даже без должного финансирования флота.,Смог даже без должного финансированиы флота.,финансирования,финансированиы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
304593,И Сана знала такую женщину.,И Сана знала такую женщиня.,женщину,женщиня,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
18488,За эту команду играл Живчик.,За эту командя играл Живчик.,команду,командя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
204394,И для этого мужика он никто.,И для этого мужикы он никто.,мужика,мужикы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
91151,И тому виной был Радик.,И тому винем был Радик.,виной,винем,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,1
250847,Гринька усердно колол розовую хрупкую вербу.,Гринька усердно колол розовую хрупкую вербя.,вербу,вербя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
184075,"Дежан закивал, давясь безмолвным смехом.","Дежан закивал, давясь безмолвным смехой.",смехом,смехой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
177784,А Сойка дышала у моего плеча.,А Сойка дышала у моего плечы.,плеча,плечы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
196846,Он сейчас же предлагал новую остроту.,Он сейчас же предлагал новую остротя.,остроту,остротя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
273877,Ни одного из местного жаргонного выражения.,Ни одного из местного жаргонного выражениы.,выражения,выражениы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
164881,Граймс говорил с уверенностью самой молодости.,Граймс говорил с уверенностью самой молодоста.,молодости,молодоста,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
270222,Я говорю в сторону Лаахского озера.,Я говорю в сторону Лаахского озери.,озера,озери,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
251754,Или просто боялись смелого человека.,Или просто боялись смелого человеки.,человека,человеки,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
67612,то есть работать уровнем выше.,то есть работать уровной выше.,уровнем,уровной,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
123471,А планета носила длинное имя Поргорсторсаанд?,А планета носила длинное иму Поргорсторсаанд?,имя,иму,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
168059,Но те ни слова в ответ!,Но те ни словы в ответ!,слова,словы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
214384,Иэто в такой солидной фирме!,Иэто в такой солидной фирми!,фирме,фирми,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
28583,Сейчас я обойду все пространства!,Сейчас я обойду все пространствы!,пространства,пространствы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
90332,Для палисада острили тяжелые бревна.,Для палисада острили тяжелые бревны.,бревна,бревны,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
195977,Завыл сигнал полной боевой готовности.,Завыл сигнал полной боевой готовноста.,готовности,готовноста,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
281456,Нашего театра больше не было.,Нашего театри больше не было.,театра,театри,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
59283,Но какие волки опасны целому войску?,Но какие волки опасны целому войски?,войску,войски,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
94948,Выдергивали его из салона самого.,Выдергивали его из салони самого.,салона,салони,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
295990,Полидамаса вождя покорились совету благому.,Полидамаса вождя покорились совети благому.,совету,совети,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
342284,Но – под весомые договорные обязательства.,Но – под весомые договорные обязательствы.,обязательства,обязательствы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
268718,Ленусик знала слабые места мужчин.,Ленусик знала слабые месты мужчин.,места,месты,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
292091,Эю около половины восьмого было.,Эю около половиня восьмого было.,половины,половиня,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
65474,Чтобы аргивян суда дарованьем небесным питали.,Чтобы аргивян суда дарованьой небесным питали.,дарованьем,дарованьой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
198233,Вот и дистанция эффективного боя.,Вот и дистанция эффективного боы.,боя,боы,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
338160,Ночные были ошарашены нашим отпором.,Ночные были ошарашены нашим отпорой.,отпором,отпорой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
41431,Уолли поразил жертву уже первой очередью.,Уолли поразил жертву уже первой очередьом.,очередью,очередьом,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
34122,Они увидели низкие формы Первой Трети.,Они увидели низкие формы Первой Трета.,Трети,Трета,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
364757,Это прием игры безмотыльной мормышкой.,Это прием игры безмотыльной мормышком.,мормышкой,мормышком,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,3
267577,И Рита лягнула Знахаря розовой пяткой.,И Рита лягнула Знахаря розовой пяткем.,пяткой,пяткем,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,librusec,2
17747,А актер должен быть пустым листом.,А актер должен быть пустым листой.,листом,листой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,2
87121,Вот расправа была с государством нашим!,Вот расправа была с государствой нашим!,государством,государствой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,3
15071,Голы со стандартов с моим участием?,Голы со стандартов с моим участиой?,участием,участиой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,3
89467,Ваие считался политическим противником президента.,Ваие считался политическим противникой президента.,противником,противникой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,2
5312,Оно допускало инженерную подготовку территории.,Оно допускало инженерную подготовкя территории.,подготовку,подготовкя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,2
241877,У американской команды забила Эрика Леске.,У американской командя забила Эрика Леске.,команды,командя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,3
51242,Он играл разрешенной частью тела.,Он играл разрешенной частьем тела.,частью,частьем,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,2
154753,Такое шоу лучше раз увидеть.,Такое шоя лучше раз увидеть.,шоу,шоя,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,3
1096,Шамсидинов стал буквально одержим этим делом.,Шамсидинов стал буквально одержим этим делой.,делом,делой,Morphology,Word Inflection,change_declension_ending_has_dep,change_declension_ending_has_dep,wikinews,3
