id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
6857,Один раз он долго не приходил.,Один раз он долго не пришел.,приходил,пришел,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
9634,Мы долго обсуждали мужество Мазая.,Мы долго обсудили мужество Мазая.,обсуждали,обсудили,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
6091,Долго выводим коней у околицы.,Долго выведем коней у околицы.,выводим,выведем,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
5224,Уж слишком долго занимали мы!,Уж слишком долго заняли мы!,занимали,заняли,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,3
11498,Марк потом долго повторял ее.,Марк потом долго повторил ее.,повторял,повторил,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,1
5756,Его потом долго называли Эль Секси.,Его потом долго назвали Эль Секси.,называли,назвали,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
10487,Вельмы еще долго допрашивали Магрету.,Вельмы еще долго допросили Магрету.,допрашивали,допросили,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
7732,Почему же Таскинар так долго собирался?,Почему же Таскинар так долго собрался?,собирался,собрался,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,3
8156,Новости до Волчьего Ручья доходили долго.,Новости до Волчьего Ручья дошли долго.,доходили,дошли,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
1473,Анюта оставалась иногда подолгу одна.,Анюта осталась иногда подолгу одна.,оставалась,осталась,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,1
4517,Он изучал меню очень долго.,Он изучил меню очень долго.,изучал,изучил,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
7776,Хиргол долго вспоминал некогда заученный урок.,Хиргол долго вспомнил некогда заученный урок.,вспоминал,вспомнил,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,3
8907,Александр Иванович долго не отвечал.,Александр Иванович долго не ответил.,отвечал,ответил,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
3525,Вы меня долго проверяли в Ашхабаде.,Вы меня долго проверили в Ашхабаде.,проверяли,проверили,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,2
4593,Микис долго этого не понимал.,Микис долго этого не понял.,понимал,понял,Semantics,Aspect,change_duration_aspect,change_duration_aspect,librusec,1
