id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
39624,Он пересчитал – гранат оставалось семь.,Он сперечитал – гранат оставалось семь.,пересчитал,сперечитал,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
37376,Тогда хотел преподнести Ксении сюрприз.,Тогда хотел подпренести Ксении сюрприз.,преподнести,подпренести,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
36150,Здесь уже можно было даже привстать.,Здесь уже можно было даже впристать.,привстать,впристать,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
31550,Я тогда холодно и расчетливо вразумляла тебя.,Я тогда холодно и расчетливо развумляла тебя.,вразумляла,развумляла,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
39596,Но еще не просчитал последствий.,Но еще не спрочитал последствий.,просчитал,спрочитал,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,1
29218,Все вокруг явно порядком подвыпили.,Все вокруг явно порядком выподпили.,подвыпили,выподпили,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
32848,Он знай себе пересчитывал ключи.,Он знай себе сперечитывал ключи.,пересчитывал,сперечитывал,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
39353,Следящая лодка предугадать такой поворот не может.,Следящая лодка упредгадать такой поворот не может.,предугадать,упредгадать,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,4
41846,"Капитан привстал, навис над столом.","Капитан впристал, навис над столом.",привстал,впристал,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
40006,Я привстал и завопил от ужаса.,Я впристал и завопил от ужаса.,привстал,впристал,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
28892,Попридержать машины до выхода за поворот?,Приподержать машины до выхода за поворот?,Попридержать,Приподержать,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
40929,"Хотя, – я взглядом пересчитал бойцов.","Хотя, – я взглядом сперечитал бойцов.",пересчитал,сперечитал,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
33698,Только вряд ли вас вразумишь.,Только вряд ли вас развумишь.,вразумишь,развумишь,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
28869,Как они просчитали хату в Переславле?,Как они спрочитали хату в Переславле?,просчитали,спрочитали,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
28732,"Значит, Питоха предусмотрел дополнительный вариант.","Значит, Питоха упредсмотрел дополнительный вариант.",предусмотрел,упредсмотрел,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
28306,Поэт? – переспросил Макковей и обернулся.,Поэт? – сперепросил Макковей и обернулся.,переспросил,сперепросил,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,3
30692,Если друг преподносит тебе сюрприз – думай.,Если друг подпреносит тебе сюрприз – думай.,преподносит,подпреносит,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
34871,У меня давно все просчитано.,У меня давно все спрочитано.,просчитано,спрочитано,Morphology,Word Formation,change_verb_prefixes_order,change_verb_prefixes_order,librusec,2
