id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
96657,Одну вот вам приказано предоставить.,Одну вот вам приказан предоставить.,приказано,приказан,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
123779,Как крестьянам удалось опустить мост?,Как крестьянам удался опустить мост?,удалось,удался,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
116936,Заговорить о Фрае оказалось сложнее.,Заговорить о Фрае оказался сложнее.,оказалось,оказался,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
137198,На Акико интересно было смотреть.,На Акико интересно был смотреть.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
120456,Не приходилось зреть сие полотно?,Не приходился зреть сие полотно?,приходилось,приходился,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
198975,Впервые гордым вези было страшно.,Впервые гордым вези был страшно.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,1
213972,А Домиция Верулу следовало опасаться.,А Домиция Верулу следовал опасаться.,следовало,следовал,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
181626,Но удрать Радику не удалось.,Но удрать Радику не удался.,удалось,удался,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,1
218859,Самкам же приходилось защищать тыл.,Самкам же приходился защищать тыл.,приходилось,приходился,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
99364,Ему нужно было понять Вестабуля.,Ему нужно был понять Вестабуля.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
141637,Им было хорошо колоть орехи.,Им был хорошо колоть орехи.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
118208,Баю пришлось держать руку Катинки.,Баю пришелся держать руку Катинки.,пришлось,пришелся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
91682,Моей задачей было ставит заградогонь.,Моей задачей был ставит заградогонь.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
131216,Но смутить Пенского оказалось непросто.,Но смутить Пенского оказался непросто.,оказалось,оказался,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
103700,И что оставалось делать Неле?,И что оставался делать Неле?,оставалось,оставался,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
138232,В такую даль вести пришлось!,В такую даль вести пришелся!,пришлось,пришелся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
101527,м что оставалось делать Казуарову?,м что оставался делать Казуарову?,оставалось,оставался,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
177784,А бояться менту было чего.,А бояться менту был чего.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
152472,Но Ваньку непросто было провести.,Но Ваньку непросто был провести.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
168796,Пришлось продемонстрировать ему один прием...,Пришелся продемонстрировать ему один прием...,Пришлось,Пришелся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
159549,Братку выпало идти к участковому.,Братку выпал идти к участковому.,выпало,выпал,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
169283,Петрухе ждать его не пришлось.,Петрухе ждать его не пришелся.,пришлось,пришелся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,2
176236,Два других некому было вести.,Два других некому был вести.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
139675,Пришлось менять план па ходу.,Пришелся менять план па ходу.,Пришлось,Пришелся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,3
201294,Только идти нужно было неделю.,Только идти нужно был неделю.,было,был,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_gender,clause_subj_predicate_agreement_gender,librusec,1
