id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
265373,Но взять Двоерыла не удалось.,Но взять Двоерыла не удались.,удалось,удались,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
154031,И что оставалось делать Неле?,И что оставались делать Неле?,оставалось,оставались,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
171529,Только откуда же было взяться ей?,Только откуда же были взяться ей?,было,были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
163634,Де Доресам оставалось скрежетать зубами.,Де Доресам оставались скрежетать зубами.,оставалось,оставались,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
184426,"Чего там говорить, супервеселонам было.","Чего там говорить, супервеселонам были.",было,были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
244583,Ведь благодаря книгам Гроцию удалось бежать.,Ведь благодаря книгам Гроцию удались бежать.,удалось,удались,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
195440,Найти Кирка и Вига нетрудно.,Найти Кирка и Вига нетрудны.,нетрудно,нетрудны,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,4
224059,Технику здесь винить было не нужно.,Технику здесь винить были не нужно.,было,были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
138240,Моей задачей было ставит заградогонь.,Моей задачей были ставит заградогонь.,было,были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
142648,Нельзя было отдыхать: скоро товарный.,Нельзя были отдыхать: скоро товарный.,было,были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
218822,Что было сказывать о деле?,Что были сказывать о деле?,было,были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
245318,Сыну Тидееву храброму гнать колесницы достался.,Сыну Тидееву храброму гнать колесницы достались.,достался,достались,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
126811,И ждать в ней приходится всего.,И ждать в ней приходятся всего.,приходится,приходятся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
204885,Тилоду надо было занять людей делом.,Тилоду надо были занять людей делом.,было,были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
277810,"Нет, человеку сайтена не понять.","Нет, человеку сайтены не понять.",сайтена,сайтены,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
141451,"Было ясно, кто тут солирует.","Были ясно, кто тут солирует.",Было,Были,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,2
200811,Неужели тело Кожина не удалось найти?,Неужели тело Кожина не удались найти?,удалось,удались,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
246610,Небось на карте отметить понадобилось?,Небось на карте отметить понадобились?,понадобилось,понадобились,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
187005,И следует ответить – все три.,И следуют ответить – все три.,следует,следуют,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_number,clause_subj_predicate_agreement_number,librusec,3
