id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
80471,Удастся поднять его – твое счастье.,Удамся поднять его – твое счастье.,Удастся,Удамся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,3
61894,Только мешок этот нести придется тебе!,Только мешок этот нести придусь тебе!,придется,придусь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,3
66385,Масло потом класть не понадобится.,Масло потом класть не понадоблюсь.,понадобится,понадоблюсь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,2
76413,Нам следует вовремя принять меры.,Нам следую вовремя принять меры.,следует,следую,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,2
102072,А правду пока придется дозировать.,А правду пока придусь дозировать.,придется,придусь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,2
93768,Не стоит вам сейчас пить.,Не стою вам сейчас пить.,стоит,стою,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,2
61863,Переиграть Аль Яни не удастся.,Переиграть Аль Яни не удамся.,удастся,удамся,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,3
113244,Что следует из этого понимать?,Что следую из этого понимать?,следует,следую,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,3
94201,Для начала мак требуется замочить.,Для начала мак требуюсь замочить.,требуется,требуюсь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,3
61660,Когда теперь еще придется свидеться?,Когда теперь еще придусь свидеться?,придется,придусь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,1
92898,Придется вам принимать инструкции по интеркому...,Придусь вам принимать инструкции по интеркому...,Придется,Придусь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,4
80223,Тогда и их звать придется.,Тогда и их звать придусь.,придется,придусь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,3
71989,Теперь нам самим приходится учиться.,Теперь нам самим прихожусь учиться.,приходится,прихожусь,Syntax,Subject-Predicate Agreement,clause_subj_predicate_agreement_person,clause_subj_predicate_agreement_person,librusec,2
