id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
11638,"Гора умерла, господин, она умерла девятьсот лет назад.","Гора умерла, господин, она умрет девятьсот лет назад.",умерла,умрет,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
10815,"Я только что замерил, еще никому не говорил.","Я только что замерю, еще никому не говорил.",замерил,замерю,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
9801,Он только что подмигнул Эстелле или ей показалось?,Он только что подмигнет Эстелле или ей показалось?,подмигнул,подмигнет,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
10108,"Прости, я узнала печать и только что вскрыла конверт.","Прости, я узнала печать и только что вскрою конверт.",вскрыла,вскрою,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
12634,"Так не пойдет, он только что придумал!","Так не пойдет, он только что придумает!",придумал,придумает,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
14337,"Вот слушай, он только что выучил.","Вот слушай, он только что выучит.",выучил,выучит,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
8972,Он только что приехал и привез...,Он только что приедет и привез...,приехал,приедет,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
12931,"Я ведь тоже спал, только что проснулся.","Я ведь тоже спал, только что проснусь.",проснулся,проснусь,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
9821,"Только она отбывала, а он только что приехал.","Только она отбывала, а он только что приедет.",приехал,приедет,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
12730,"Я только что поставила ей банки, напоила липовым чаем.","Я только что поставлю ей банки, напоила липовым чаем.",поставила,поставлю,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
9105,"Он-то залез только что, а я уже давно.","Он-то залезет только что, а я уже давно.",залез,залезет,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
11581,"Запиши, это пойдет в завтрашний номер.","Запиши, это пошло в завтрашний номер.",пойдет,пошло,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
10166,"Второй разряд, я его лет пять назад получил.","Второй разряд, я его лет пять назад получу.",получил,получу,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
10531,Он умер несколько месяцев назад и похоронен в Хейлишеме.,Он умрет несколько месяцев назад и похоронен в Хейлишеме.,умер,умрет,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
10701,Он только что проиграл Майрену и расплачивался шестьюдесятью иквограми.,Он только что проиграет Майрену и расплачивался шестьюдесятью иквограми.,проиграл,проиграет,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
9092,Там я и был и только что вырвался.,Там я и был и только что вырвусь.,вырвался,вырвусь,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
11050,Я еще в прошлом году все прошел — выучил.,Я еще в прошлом году все пройду — выучил.,прошел,пройду,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,3
8712,"Ехала она осторожно, права получила всего две недели назад.","Ехала она осторожно, права получит всего две недели назад.",получила,получит,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,4
9404,"Контакт в бедрах сохраняем, я же только что сказала!","Контакт в бедрах сохраняем, я же только что скажу!",сказала,скажу,Semantics,Tense,conj_verb_tense,conj_verb_tense_expression_marker,librusec,6
