id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
73228,Да и мной самим закусят.,Да и мной самого закусят.,самим,самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
61847,Хотя там действует сам дьявол.,Хотя там действует самого дьявол.,сам,самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
94385,И сама Милочка девственно чиста.,И самой Милочка девственно чиста.,сама,самой,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
72855,В том числе и самому Чиву.,В том числе и самый Чиву.,самому,самый,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
101333,Недешево стала и сама услуга.,Недешево стала и самой услуга.,сама,самой,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
90565,Юрик остановил возле самого КПП.,Юрик остановил возле самый КПП.,самого,самый,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
91053,Гримс сам решил вести корабль.,Гримс самого решил вести корабль.,сам,самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
90762,"всего предприятия, сам Джеймс Саймонс.","всего предприятия, самого Джеймс Саймонс.",сам,самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
101177,А КТО создал самого Мэгана?,А КТО создал самый Мэгана?,самого,самый,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
59806,Особенно пострадает тело самого Детруна.,Особенно пострадает тело самому Детруна.,самого,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
96225,Сам же он занялся Настей.,Самого же он занялся Настей.,Сам,Самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
95298,Но вот чтобы на самом небе?,Но вот чтобы на самое небе?,самом,самое,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,1
94280,Самого Маркела на крытом сломали.,Самый Маркела на крытом сломали.,Самого,Самый,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
57836,А потом она различает сами руки.,А потом она различает самими руки.,сами,самими,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
91516,Не могу себя самого разжаловать.,Не могу себя самый разжаловать.,самого,самый,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
62666,"Его самого, Гали и Васеньки.","Его самый, Гали и Васеньки.",самого,самый,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
78548,"Дождался, пока отец продолжит сам.","Дождался, пока отец продолжит самого.",сам,самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
92304,А разве я сам лучше?,А разве я самого лучше?,сам,самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
84595,Сам Поленов и два актера.,Самого Поленов и два актера.,Сам,Самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
97864,Сам дворец выглядел не лучше.,Самого дворец выглядел не лучше.,Сам,Самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
63861,Не меньше радовался и сам Брендольв.,Не меньше радовался и самого Брендольв.,сам,самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,4
80205,Сам Бог водил моим резцом.,Самого Бог водил моим резцом.,Сам,Самого,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,3
65343,Где ему самому такое придумать!,Где ему самый такое придумать!,самому,самый,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_case,floating_quantifier_agreement_case,librusec,2
