id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
29860,Илюха и сам долго не зажился.,Илюха и сама долго не зажился.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
31519,Но иногда старец исцелял сам.,Но иногда старец исцелял сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,1
45245,Хотя Жеребец сам был виноват.,Хотя Жеребец сама был виноват.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,1
38291,"Интересно, а сам он здесь?","Интересно, а сама он здесь?",сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
30702,Сам Абдель не сказал бы лучше.,Сама Абдель не сказал бы лучше.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
47702,Он сам с Тиной был.,Он сама с Тиной был.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,4
33950,Но начать Торвард должен сам.,Но начать Торвард должен сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,1
38743,Он сам шел в сети.,Он сама шел в сети.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
47874,Гульков сам к тебе подошел.,Гульков сама к тебе подошел.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
45338,А сейчас он идет сам.,А сейчас он идет сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,1
40922,Дебри к этому времени поднялся сам.,Дебри к этому времени поднялся сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
45911,Максим сейчас и сам недоумевал.,Максим сейчас и сама недоумевал.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
43898,Или неправильным было само отражение.,Или неправильным было сама отражение.,само,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
42789,Сам Эш борешанистом не был.,Сама Эш борешанистом не был.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
41452,Сам он только вчера принял руководство.,Сама он только вчера принял руководство.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
35266,Перед ней был сам Муре.,Перед ней был сама Муре.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
33326,Знал это и сам Огнеяр.,Знал это и сама Огнеяр.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
32470,А вдруг это сделал сам Диос?,А вдруг это сделал сама Диос?,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
34549,"Сам Черкасов полагал, что нужно.","Сама Черкасов полагал, что нужно.",Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
42320,Но лекарь уже пришел сам.,Но лекарь уже пришел сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,1
40390,Это ты сам такой был.,Это ты сама такой был.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
29226,Сам он уже был порядком поддатый.,Сама он уже был порядком поддатый.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
42299,Его пард всегда сам находил дорогу.,Его пард всегда сама находил дорогу.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
42027,Зато колоритен сам господин Игоев.,Зато колоритен сама господин Игоев.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
42803,Сам Аблес тоже надел такую штуку.,Сама Аблес тоже надел такую штуку.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
33316,Знание само не дело есть.,Знание сама не дело есть.,само,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
36918,Дверь им открыл сам молодой адвокат.,Дверь им открыл сама молодой адвокат.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
47763,Зато сам Игорь стал нравиться больше.,Зато сама Игорь стал нравиться больше.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
47727,А Тимур его самого склеил.,А Тимур его самую склеил.,самого,самую,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
29825,Тебе самой нравилось их дарить.,Тебе самому нравилось их дарить.,самой,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
47539,И сам он все больше нравился.,И сама он все больше нравился.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
43756,Сам Ягун поговорил со мной!,Сама Ягун поговорил со мной!,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
35920,Сам отец повел меня к экипажу.,Сама отец повел меня к экипажу.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
41866,Сам Нечай Кравец присутствовал тут же.,Сама Нечай Кравец присутствовал тут же.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
43265,А если стрелял сам Продинов?,А если стрелял сама Продинов?,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
32371,И одонья он клал сам.,И одонья он клал сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,1
40105,Человек имел в виду его самого.,Человек имел в виду его самую.,самого,самую,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
38349,"Короче, он видел галактов сам!","Короче, он видел галактов сама!",сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
31914,Сам он остался почти неприкрытым.,Сама он остался почти неприкрытым.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
46684,А сам шкаф откроет — загорается.,А сама шкаф откроет — загорается.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
41323,Сигвард и сам это понимал.,Сигвард и сама это понимал.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
35252,Ей самой хотелось этому верить.,Ей самому хотелось этому верить.,самой,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
35257,Малдер и сам это понимал.,Малдер и сама это понимал.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
41903,Прежде передовой Охотник сам выбирал путь.,Прежде передовой Охотник сама выбирал путь.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
36219,Инквизитор Имберт сам выбрал остальных следователей.,Инквизитор Имберт сама выбрал остальных следователей.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
36705,Сок сам отчетливо желтился на страницах.,Сок сама отчетливо желтился на страницах.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
36474,Что перед ней сам человек!,Что перед ней сама человек!,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
45355,Но сам Шмель это тоже понял.,Но сама Шмель это тоже понял.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
33562,А копье само защитит владельца.,А копье сама защитит владельца.,само,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
30893,Нос сам устремлен в обрыв.,Нос сама устремлен в обрыв.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
46954,Но он начал разговор сам.,Но он начал разговор сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,1
30670,Иногда Джони сам спускался со мной.,Иногда Джони сама спускался со мной.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
32373,Сам приехал – Михаил Михайлыч Гузенков.,Сама приехал – Михаил Михайлыч Гузенков.,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
29138,Степа даже сам в зеркале заметил.,Степа даже сама в зеркале заметил.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
41487,Сам Чириков подошел и поцеловал руку!,Сама Чириков подошел и поцеловал руку!,Сам,Сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
32809,Но каково придется самой Магдалене?,Но каково придется самому Магдалене?,самой,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
30723,Так приказал сам Али Асханов.,Так приказал сама Али Асханов.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
33336,Отец берется сам попробовать помирить вас.,Отец берется сама попробовать помирить вас.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
34739,Род и сам очень много работал.,Род и сама очень много работал.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
45130,Но сам Арсен того не желал.,Но сама Арсен того не желал.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
41965,От второй Васильев ушел сам.,От второй Васильев ушел сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
46692,Володька Боков сам испугался малость.,Володька Боков сама испугался малость.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
40742,Тогда он сам к батюшке принесет.,Тогда он сама к батюшке принесет.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
30420,Или насколько ошибался я сам.,Или насколько ошибался я сама.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,2
41086,Завтра он сам поедет к Артыкбаю.,Завтра он сама поедет к Артыкбаю.,сам,сама,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_gender,floating_quantifier_agreement_gender,librusec,3
