id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
14441,Две другие – в самом клубе.,Две другие – в самом клубах.,клубе,клубах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
7205,Шум двигателей уже у самого дома.,Шум двигателей уже у самого домов.,дома,домов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
5643,Но самого сообщения почему-то не было.,Но самого сообщений почему-то не было.,сообщения,сообщений,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
5732,Достается и самой музыке эмо.,Достается и самой музыкам эмо.,музыке,музыкам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
8014,То ли о них самих?,То ли о них самом?,самих,самом,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
7828,Перед вами сам команданте Рикраарте.,Перед вами сам команданты Рикраарте.,команданте,команданты,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10551,Возле самого города она расширяется.,Возле самого городов она расширяется.,города,городов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
16954,Или даже сам генерал Максимов!,Или даже сам генералы Максимов!,генерал,генералы,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,1
7631,Переняли их уже под самой стеной.,Переняли их уже под самой стенами.,стеной,стенами,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
5450,Она находится в самой церкви.,Она находится в самой церквах.,церкви,церквах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6106,А в самом городе — нет.,А в самом городах — нет.,городе,городах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
8278,До самого города Липский молчал.,До самого городов Липский молчал.,города,городов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
7589,Разве что им самим потребуется.,Разве что им самому потребуется.,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
8669,И в самой хате не фонтан.,И в самой хатах не фонтан.,хате,хатах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
7086,В нем – сила самой земли-целительницы.,В нем – сила самой земель-целительниц.,земли-целительницы,земель-целительниц,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
9370,Им самим не захочется домой.,Им самому не захочется домой.,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6196,Хотя нам самим не хватало оружия.,Хотя нам самому не хватало оружия.,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
17311,Ну и с ним самим разобраться.,Ну и с ним самими разобраться.,самим,самими,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10770,Перед самой войной людей хватали...,Перед самой войнами людей хватали...,войной,войнами,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6483,Теперь нам самим приходится учиться.,Теперь нам самому приходится учиться.,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
17549,Из ненависти к самой жизни.,Из ненависти к самой жизням.,жизни,жизням,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
12454,Передашь ее самому мурзе Юсуфу.,Передашь ее самому мурзам Юсуфу.,мурзе,мурзам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6059,Они молчали до самого дома.,Они молчали до самого домов.,дома,домов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
13356,Виктор Николаевич молчал до самого самолета.,Виктор Николаевич молчал до самого самолетов.,самолета,самолетов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
17316,До самого офиса они ехали молча.,До самого офисов они ехали молча.,офиса,офисов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
13320,Да и сам отец- настоятель тоже.,Да и сам отец- настоятели тоже.,настоятель,настоятели,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6510,Но не во имя самого азарта.,Но не во имя самого азартов.,азарта,азартов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
14288,Вмиг расщеплется в самой основе.,Вмиг расщеплется в самой основах.,основе,основах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
12529,А ткань пришлось раскраивать красавице самой.,А ткань пришлось раскраивать красавицам самой.,красавице,красавицам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
7608,Но самим стражам придется затянуть пояса.,Но самим стражу придется затянуть пояса.,стражам,стражу,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
7857,Нам придется включать ловушку самим.,Нам придется включать ловушку самому.,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
10302,У самой канцелярии наконец вспомнил.,У самой канцелярий наконец вспомнил.,канцелярии,канцелярий,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
15755,"Ну, еще сам генерал-аншеф Халивин.","Ну, еще сам генерал-аншефы Халивин.",генерал-аншеф,генерал-аншефы,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10935,"условий, относящихся к самому маасеру.","условий, относящихся к самому маасерам.",маасеру,маасерам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
8595,Нам самим заняться этим вопросом?,Нам самому заняться этим вопросом?,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
17376,Давиль молчал до самого дома.,Давиль молчал до самого домов.,дома,домов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
9180,Но вот чтобы на самом небе?,Но вот чтобы на самом небесах?,небе,небесах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,1
7257,Самих огоньков не было видно.,Самих огонька не было видно.,огоньков,огонька,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
7879,Отступление было предрешено самой смертью Кводнона!,Отступление было предрешено самой смертями Кводнона!,смертью,смертями,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
12399,Затем посадили уже перед самой войной.,Затем посадили уже перед самой войнами.,войной,войнами,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
15828,"Так же, как сами дети.","Так же, как сами ребенок.",дети,ребенок,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6763,Филя дошел до самого собора.,Филя дошел до самого соборов.,собора,соборов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10241,А сами рубашки – из муслина.,А сами рубашка – из муслина.,рубашки,рубашка,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10166,И Чугуна самого нет уже.,И Чугунов самого нет уже.,Чугуна,Чугунов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
8629,И в самом доме никого.,И в самом домах никого.,доме,домах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
7692,И доучились до самой войны.,И доучились до самой войн.,войны,войн,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
5323,Если у самого дела на подъеме!,Если у самого дел на подъеме!,дела,дел,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10919,подходили вы к самому городу сражаться?,подходили вы к самому городам сражаться?,городу,городам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
14307,На самом деде все гораздо круче.,На самом дедах все гораздо круче.,деде,дедах,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10395,Самой бабке он тоже лекарства давал.,Самой бабкам он тоже лекарства давал.,бабке,бабкам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
9268,Радику и самому стало смешно.,Радикам и самому стало смешно.,Радику,Радикам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
9773,От самой границы неладное чуял.,От самой границ неладное чуял.,границы,границ,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
10118,Река везде остается самой собой.,Река везде остается самыми собой.,самой,самыми,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6484,Что перед ней сам человек!,Что перед ней сам люди!,человек,люди,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
8609,Граната рванула возле самой машины.,Граната рванула возле самой машин.,машины,машин,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
15703,Она кружила над самой банкой.,Она кружила над самой банками.,банкой,банками,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
9293,Носил ее у самого сердца.,Носил ее у самого сердец.,сердца,сердец,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
8662,Но в самом селении страхи улетучилось.,Но в самом селениях страхи улетучилось.,селении,селениях,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
5335,Потом опять к самому балагану воротились.,Потом опять к самому балаганам воротились.,балагану,балаганам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
13328,У меня у самой недвижимости нет.,У меня у самой недвижимостей нет.,недвижимости,недвижимостей,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
7585,Так и перли до самой ограды.,Так и перли до самой оград.,ограды,оград,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
11059,Только сам лично господин комендант...,Только сам лично господа комендант...,господин,господа,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
5783,Вам самим топать до ночи.,Вам самому топать до ночи.,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
5790,Но как насчет самого компьютера?,Но как насчет самого компьютеров?,компьютера,компьютеров,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
6792,Чабби подвел вельбот к самому песку.,Чабби подвел вельбот к самому пескам.,песку,пескам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,2
5691,"Долг перед самой собой, Лаутар.","Долг перед самыми собой, Лаутар.",самой,самыми,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,librusec,3
2219,Про государство вам самим судить.,Про государство вам самому судить.,самим,самому,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,wikinews,3
485,Сам игрок тоже не против остаться.,Сам игроки тоже не против остаться.,игрок,игроки,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,wikinews,2
15433,Маме пришлось самой научиться ее проводить.,Мамам пришлось самой научиться ее проводить.,Маме,Мамам,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,wikinews,4
21653,Однако некоторые довольны самим фактом экранизации.,Однако некоторые довольны самим фактами экранизации.,фактом,фактами,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,wikinews,2
18950,Но самого закона пока нету.,Но самого законов пока нету.,закона,законов,Syntax,Floating Quant. Agreement,floating_quantifier_agreement_number,floating_quantifier_agreement_number,wikinews,2
