id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
74153,Но ведь глядунов давно не было.,Но ведь глядунов давно не была.,было,была,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
64487,Чтобы долгов за ним не было...,Чтобы долгов за ним не был...,было,был,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
36352,Теперь у нее не было оружия.,Теперь у нее не был оружия.,было,был,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
68297,Но денег не столе не оказалось.,Но денег не столе не оказался.,оказалось,оказался,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
81485,Теперь не было даже этого.,Теперь не был даже этого.,было,был,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
44730,А голов все не было.,А голов все не была.,было,была,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,1
73589,С час ничего особенного не происходило.,С час ничего особенного не происходил.,происходило,происходил,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,3
66057,На других ничего не росло.,На других ничего не рос.,росло,рос,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
65415,ее не доводилось ни разу.,ее не доводился ни разу.,доводилось,доводился,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
81726,На сотенной спице ничего не отложено.,На сотенной спице ничего не отложен.,отложено,отложен,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
37500,На сомнения не осталось времени.,На сомнения не остался времени.,осталось,остался,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
55436,Скарпи с князем не было.,Скарпи с князем не была.,было,была,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,3
82631,При нем ничего не оказалось?,При нем ничего не оказался?,оказалось,оказался,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
36085,У них не было наших примет.,У них не был наших примет.,было,был,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,3
73518,Когга на нем уже не было.,Когга на нем уже не была.,было,была,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
60052,Когда ладьи лошадиных сил не хватало.,Когда ладьи лошадиных сил не хватал.,хватало,хватал,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
75248,И франков тоже не было.,И франков тоже не была.,было,была,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,1
81582,Не было и князя Вячко.,Не была и князя Вячко.,было,была,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
70491,А боя настоящего не получилось.,А боя настоящего не получилась.,получилось,получилась,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
67029,На нем более не было одежды.,На нем более не был одежды.,было,был,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
35162,Ее людей в клубе не было.,Ее людей в клубе не была.,было,была,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,3
68470,Только сцен тут не хватало.,Только сцен тут не хватал.,хватало,хватал,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,1
66207,Но почти ничего не спаслось.,Но почти ничего не спасся.,спаслось,спасся,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_gender,genitive_subj_predicate_agreement_gender,librusec,2
