id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
39792,Ведь этого же не было.,Ведь этого же не были.,было,были,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
33514,Переходов по ГЦН не было.,Переходов по ГЦН не были.,было,были,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,3
53022,В шестом не хватало шести труб.,В шестом не хватали шести труб.,хватало,хватали,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,3
31021,Но мира тоже не стало.,Но мира тоже не стали.,стало,стали,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,1
50713,Что быть такого не могло?,Что быть такого не могли?,могло,могли,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,1
56013,Чтобы долгов за ним не было...,Чтобы долгов за ним не были...,было,были,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
57581,Но почти ничего не спаслось.,Но почти ничего не спаслись.,спаслось,спаслись,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
47059,Чтобы ничего больше не было.,Чтобы ничего больше не были.,было,были,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,1
45125,Поймите: вашего мира не станет.,Поймите: вашего мира не станут.,станет,станут,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,3
30372,Ленчика в номере не было.,Ленчика в номере не были.,было,были,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
51303,Леденчика за то не найдется?,Леденчика за то не найдутся?,найдется,найдутся,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
57643,С этой ничего подобного не произошло.,С этой ничего подобного не произошли.,произошло,произошли,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,3
31501,Не хватало меча - Берри Лиара.,Не хватали меча - Берри Лиара.,хватало,хватали,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,3
42395,Не может тут оказаться второго.,Не могут тут оказаться второго.,может,могут,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
47739,Уже и сил не было.,Уже и сил не были.,было,были,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
48864,Чщахта в кратере не было.,Чщахта в кратере не были.,было,были,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
70985,А крыльев у Виго не имеется...,А крыльев у Виго не имеются...,имеется,имеются,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_number,genitive_subj_predicate_agreement_number,librusec,2
