id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
18838,И сейчас ничего не выйдет.,И сейчас ничего не выйду.,выйдет,выйду,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,1
18643,Только для меня времени не существует.,Только для меня времени не существую.,существует,существую,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
14458,Пока же ничего не выходит.,Пока же ничего не выхожу.,выходит,выхожу,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
14531,А молока не водится у нас.,А молока не вожусь у нас.,водится,вожусь,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
13205,Не может тут оказаться второго.,Не могу тут оказаться второго.,может,могу,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
10073,Мне ни хрена не полагается?,Мне ни хрена не полагаюсь?,полагается,полагаюсь,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
30657,У кино не бывает плохого конца.,У кино не бываю плохого конца.,бывает,бываю,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,3
29426,"Не станет тебя, назовет другого!","Не стану тебя, назовет другого!",станет,стану,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
17202,Да и простора здесь не хватает.,Да и простора здесь не хватаю.,хватает,хватаю,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
12552,"Не хватает одной, хоть убей!","Не хватаю одной, хоть убей!",хватает,хватаю,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
12286,Просто не хватает необходимой энергии.,Просто не хватаю необходимой энергии.,хватает,хватаю,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
9745,Встать без стакана сил не хватает.,Встать без стакана сил не хватаю.,хватает,хватаю,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,3
17729,От людей не остается вообще ничего.,От людей не остаюсь вообще ничего.,остается,остаюсь,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,3
22676,Нам и так рук не хватает.,Нам и так рук не хватаю.,хватает,хватаю,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
21867,А крыльев у Виго не имеется...,А крыльев у Виго не имеюсь...,имеется,имеюсь,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
13099,Один только Желтых не медлит.,Один только Желтых не медлю.,медлит,медлю,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,3
18662,Не хотят ноги слушаться его.,Не хотим ноги слушаться его.,хотят,хотим,Syntax,Subject-Predicate Agreement,genitive_subj_predicate_agreement_person,genitive_subj_predicate_agreement_person,librusec,2
