id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
140984,Или только лишенное смысла изменение материи?,Или только лишенное смысла изменение материя?,материи,материя,Syntax,Government,nominalization_case,nominalization_case,librusec,2
84366,Горожане хотели поблагодарить Илейн за основание больницы.,Горожане хотели поблагодарить Илейн за основание больница.,больницы,больница,Syntax,Government,nominalization_case,nominalization_case,librusec,3
100975,Граф Паритолен движением руки велел ему замолчать.,Граф Паритолен движением рука велел ему замолчать.,руки,рука,Syntax,Government,nominalization_case,nominalization_case,librusec,3
11616,Почему ока даже не слышала его приближения?,Почему ока даже не слышала он приближения?,его,он,Syntax,Government,nominalization_case,nominalization_case,librusec,2
145427,Поэтому развлечения двора приобрели оттенок камерности.,Поэтому развлечения двор приобрели оттенок камерности.,двора,двор,Syntax,Government,nominalization_case,nominalization_case,librusec,3
23765,Выражение горечи скользнуло по лицу Емметта.,Выражение горечь скользнуло по лицу Емметта.,горечи,горечь,Syntax,Government,nominalization_case,nominalization_case,librusec,3
46386,Ее выдавали голос и тревожное выражение лица.,Ее выдавали голос и тревожное выражение лицо.,лица,лицо,Syntax,Government,nominalization_case,nominalization_case,librusec,3
60120,Максимилиам пребывал в отличном расположении духа.,Максимилиам пребывал в отличном расположении дух.,духа,дух,Syntax,Government,nominalization_case,nominalization_case,librusec,2
90849,Полное превращение вещества делает солнце дешевой свечкой.,Полное превращение вещество делает солнце дешевой свечкой.,вещества,вещество,Syntax,Government,nominalization_case,nominalization_case,librusec,3
18630,Вы просто машинка для исполнения желаний.,Вы просто машинка для исполнения желаниях.,желаний,желаниях,Syntax,Government,nominalization_case,nominalization_case,librusec,2
74617,Соедините меня с караульным помещением мыса.,Соедините меня с караульным помещением мыс.,мыса,мыс,Syntax,Government,nominalization_case,nominalization_case,librusec,2
54486,Не случайно было такое построение войска.,Не случайно было такое построение войско.,войска,войско,Syntax,Government,nominalization_case,nominalization_case,librusec,3
16988,В дыхании любви почуешь запах смерти.,В дыхании любовь почуешь запах смерти.,любви,любовь,Syntax,Government,nominalization_case,nominalization_case,librusec,3
54847,Покачивание повозки не тяготило Сару.,Покачивание повозка не тяготило Сару.,повозки,повозка,Syntax,Government,nominalization_case,nominalization_case,librusec,2
