id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
229114,Он искал нам большой беды.,Он искало нам большой беды.,искал,искало,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
260348,Бур заслонил от Торисена происходящее.,Бур заслонило от Торисена происходящее.,заслонил,заслонило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
282845,Фемера взяла Брофи за руку.,Фемера взяло Брофи за руку.,взяла,взяло,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
289406,Сегодня я уж трех демократов откопал.,Сегодня я уж трех демократов откопала.,откопал,откопала,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
217177,Ник просто повторил ее поступок.,Ник просто повторило ее поступок.,повторил,повторило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
261747,"Дейв, ты прослушивал Шерма Саймона.","Дейв, ты прослушивала Шерма Саймона.",прослушивал,прослушивала,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
231612,Зачем Игорь крутил с ней любовь?,Зачем Игорь крутило с ней любовь?,крутил,крутило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
220913,Он вообще предпочитал говорить сам.,Он вообще предпочитала говорить сам.,предпочитал,предпочитала,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
243327,"Согнала мужичка, едва себя моложе.","Согнал мужичка, едва себя моложе.",Согнала,Согнал,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
229081,Ивар методично водил по полу пальцем.,Ивар методично водило по полу пальцем.,водил,водило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
289791,Я ту же вспомнил ее песню.,Я ту же вспомнила ее песню.,вспомнил,вспомнила,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
287855,И Лютава ушла в лес.,И Лютава ушло в лес.,ушла,ушло,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
288832,Сорас Чатлейн убила Брайони Хайленд.,Сорас Чатлейн убило Брайони Хайленд.,убила,убило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
208048,Его встречала группа азтонских ремонтников.,Его встречал группа азтонских ремонтников.,встречала,встречал,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
205392,Кто в прошлый раз Пришивало позвонил?,Кто в прошлый раз Пришивало позвонила?,позвонил,позвонила,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
298197,Я бы вас научил службе!,Я бы вас научила службе!,научил,научила,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,1
206872,Развияр несколько минут стоял над ними.,Развияр несколько минут стояло над ними.,стоял,стояло,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
276312,Просто теперь конец дороги был близок.,Просто теперь конец дороги было близок.,был,было,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
252495,Но зато какова теперь картина!,Но зато каков теперь картина!,какова,каков,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,1
245030,Он посмотрел на Годсена и Мин.,Он посмотрело на Годсена и Мин.,посмотрел,посмотрело,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
261332,Серж не был очень богат.,Серж не было очень богат.,был,было,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,1
265101,Директор ничего не решил бы.,Директор ничего не решило бы.,решил,решило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,1
248611,Настало время отработать деньги и Ефиму!,Настал время отработать деньги и Ефиму!,Настало,Настал,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,4
235363,"Хорст, ты винную карту смотрел?","Хорст, ты винную карту смотрела?",смотрел,смотрела,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
290355,"Эх, зря Джемина призраков поминала!","Эх, зря Джемина призраков поминало!",поминала,поминало,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
249982,Поэтому Ник следил только за Микой.,Поэтому Ник следило только за Микой.,следил,следило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
260722,Порыв дочери вернул Олю к действительности.,Порыв дочери вернуло Олю к действительности.,вернул,вернуло,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
201017,Теперь Бильбо ехал на плечах Лунолика.,Теперь Бильбо ехало на плечах Лунолика.,ехал,ехало,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
216387,Я же на службу ушел отсюда.,Я же на службу ушла отсюда.,ушел,ушла,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
247619,Он был на землях зверуинов.,Он была на землях зверуинов.,был,была,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,1
271693,Альдона сунула руку под локоть Лейкниру.,Альдона сунуло руку под локоть Лейкниру.,сунула,сунуло,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
255453,Так Владий стал учеником чародея.,Так Владий стало учеником чародея.,стал,стало,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
277699,Она значила: когда умрет Эмшандар.,Она значило: когда умрет Эмшандар.,значила,значило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
230229,Иная судьба ожидала душу Морона.,Иная судьба ожидал душу Морона.,ожидала,ожидал,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
200626,Уитлок подошел к здоровенному ирландцу.,Уитлок подошло к здоровенному ирландцу.,подошел,подошло,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
213435,Наркота действительно шла в город?,Наркота действительно шел в город?,шла,шел,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
287770,Виктерис застонал и перекатился на спину.,Виктерис застонало и перекатился на спину.,застонал,застонало,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,3
283229,Только я и заметил вас.,Только я и заметила вас.,заметил,заметила,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,1
203900,И Бергвид пошел прямо на него!,И Бергвид пошло прямо на него!,пошел,пошло,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
238840,Морн не стала тревожить Ника.,Морн не стало тревожить Ника.,стала,стало,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
293195,"Валет достал сотовый, вызвал Кугмана.","Валет достала сотовый, вызвал Кугмана.",достал,достала,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
207173,"Интересно, что Акула предложила Мирце?","Интересно, что Акула предложило Мирце?",предложила,предложило,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
252455,Я бы прямо шубу сейчас напялила.,Я бы прямо шубу сейчас напялил.,напялила,напялил,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_gender,noun_subj_predicate_agreement_gender,librusec,2
