id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
297454,Материализовавшаяся Алена мигом заменила прибор.,Материализовавшаяся Алена мигом заменили прибор.,заменила,заменили,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
220365,Серый Брат стал перед коровами.,Серый Брат стали перед коровами.,стал,стали,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
255392,"Хабиба он ищет, людей его.","Хабиба он ищут, людей его.",ищет,ищут,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
276472,К ним медленно подошел отец Льюлем.,К ним медленно подошли отец Льюлем.,подошел,подошли,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
207690,А ты сколько всего захотела!,А ты сколько всего захотели!,захотела,захотели,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
261495,По щеке Эигейз расплывался багровый синяк.,По щеке Эигейз расплывались багровый синяк.,расплывался,расплывались,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
212856,Нас ждет воистину век рекламы.,Нас ждут воистину век рекламы.,ждет,ждут,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
264339,Кузнец и впрямь жил букой.,Кузнец и впрямь жили букой.,жил,жили,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
218362,Кривенок в окопе вдруг умолкает.,Кривенок в окопе вдруг умолкают.,умолкает,умолкают,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
207345,Едж сел на заднее сиденье.,Едж сели на заднее сиденье.,сел,сели,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
244111,А здесь ваши машины перестают работать.,А здесь ваши машины перестает работать.,перестают,перестает,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
232019,Но они работали на Амнион.,Но они работал на Амнион.,работали,работал,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
205199,Поэтому я обручусь с другим.,Поэтому я обручимся с другим.,обручусь,обручимся,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
220674,Но Караеву нужно было другое.,Но Караеву нужно были другое.,было,были,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,1
272692,Там дальше-то люк открытый находился.,Там дальше-то люк открытый находились.,находился,находились,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
256969,Они не отдадут северный простор.,Они не отдаст северный простор.,отдадут,отдаст,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
272123,Брофи схватил ее за руку.,Брофи схватили ее за руку.,схватил,схватили,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
253725,Ведь сын ее был немым!,Ведь сын ее были немым!,был,были,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
264377,Тот довел Михайловского до столика.,Тот довели Михайловского до столика.,довел,довели,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
286034,Хоббит тоже посмотрел на Биинора.,Хоббит тоже посмотрели на Биинора.,посмотрел,посмотрели,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
210051,Один ты смог преодолеть его чары.,Один ты смогли преодолеть его чары.,смог,смогли,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,4
229142,А ты в Большом была?,А ты в Большом были?,была,были,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,1
225933,Однажды я убил топором тана.,Однажды я убили топором тана.,убил,убили,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,1
288761,Я опять напомнил новичку насчет света.,Я опять напомнили новичку насчет света.,напомнил,напомнили,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
207060,Так кто же страшится получения благ?,Так кто же страшатся получения благ?,страшится,страшатся,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
203436,Снаружи рога затрубили боевой сигнал Норфов.,Снаружи рога затрубил боевой сигнал Норфов.,затрубили,затрубил,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
280519,Ты решил подарить ей жизнь?,Ты решили подарить ей жизнь?,решил,решили,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
235462,Ее бы я узнал из миллиарда.,Ее бы я узнали из миллиарда.,узнал,узнали,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
249745,И он не получит ее дочь!,И он не получат ее дочь!,получит,получат,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
290220,"Ветка видела, что нравится гостю.","Ветка видели, что нравится гостю.",видела,видели,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
223496,И вот день визита настал.,И вот день визита настали.,настал,настали,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
257011,Что он доберется до команданте?,Что он доберутся до команданте?,доберется,доберутся,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
205399,Инок каплей скользнул где-то возле колес.,Инок каплей скользнули где-то возле колес.,скользнул,скользнули,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
214725,На неделю никто не сдаст.,На неделю никто не сдадут.,сдаст,сдадут,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
267213,Да и солнце не поможет.,Да и солнце не помогут.,поможет,помогут,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
291080,Тут же появился и сам Бодю.,Тут же появились и сам Бодю.,появился,появились,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,4
239039,Так я название сразу придумаю.,Так я название сразу придумаем.,придумаю,придумаем,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,1
290368,Сапер точно перед ней находит мину.,Саперы точно перед ней находит мину.,Сапер,Саперы,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
291765,Один победитель лежал в траве.,Один победитель лежали в траве.,лежал,лежали,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
285162,И поставлен он здесь недавно.,И поставлены он здесь недавно.,поставлен,поставлены,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,1
244509,Как я заберу такую гору?,Как я заберем такую гору?,заберу,заберем,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
227070,Ну до чего девки прилипчивые попадались!,Ну до чего девки прилипчивые попадалась!,попадались,попадалась,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
275966,Теперь мир избавился от Билли Мигана.,Теперь мир избавились от Билли Мигана.,избавился,избавились,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
224480,Подобное явление было Морн знакомо.,Подобное явление были Морн знакомо.,было,были,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,2
201859,"Он дорого стоил, этот рай.","Он дорого стоили, этот рай.",стоил,стоили,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_number,noun_subj_predicate_agreement_number,librusec,3
