id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
292201,Этим ХБ можешь драить гальюн...,Этим ХБ могу драить гальюн...,можешь,могу,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
338584,Некоторые государства держат открыто корабли смерти.,Некоторые государства держим открыто корабли смерти.,держат,держим,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
307510,А чем газета отличается от науки?,А чем газета отличаюсь от науки?,отличается,отличаюсь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
324744,Это Оно ведет его на восток.,Это Оно веду его на восток.,ведет,веду,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
258360,А первый второго скоро съест.,А первый второго скоро съем.,съест,съем,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,1
326375,Много ли сыра человеку требуется?,Много ли сыра человеку требуюсь?,требуется,требуюсь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
248351,Большой парень из горы царапается!,Большой парень из горы царапаюсь!,царапается,царапаюсь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
282706,Даже я пробраться не могу.,Даже я пробраться не можешь.,могу,можешь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
316462,Мы песен и то не поем.,Мы песен и то не поете.,поем,поете,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
245764,Берут из нее люди по малости.,Берем из нее люди по малости.,Берут,Берем,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
356347,Не примут ведь меня люди!,Не примем ведь меня люди!,примут,примем,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,1
245143,Никуда потом человек не пристроится.,Никуда потом человек не пристроюсь.,пристроится,пристроюсь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,1
326489,Ведь команда и без меня победит.,Ведь команда и без меня побежу.,победит,побежу,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
299244,Там старухи таперича ладят лад.,Там старухи таперича ладите лад.,ладят,ладите,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
291849,Куда мы тогда малого денем?,Куда мы тогда малого денете?,денем,денете,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,1
254731,Когда без клопа хозяйство бывает?,Когда без клопа хозяйство бываю?,бывает,бываю,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
272563,Это только Даг Кремневый может быть.,Это только Даг Кремневый могу быть.,может,могу,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
325353,Но валы Белгорода стоят и сегодня!,Но валы Белгорода стоим и сегодня!,стоят,стоим,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
331099,Сочи в гримерке пишет плей-лист.,Сочи в гримерке пишу плей-лист.,пишет,пишу,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
328139,Лично я предпочитаю упреки мертвые.,Лично я предпочитаешь упреки мертвые.,предпочитаю,предпочитаешь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
274052,"Может быть, одновременно умирает Африка?","Может быть, одновременно умираю Африка?",умирает,умираю,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
272480,Но папы отправляются в Рай.,Но папы отправляемся в Рай.,отправляются,отправляемся,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
288558,Они ждут там доктора Бано.,Они ждем там доктора Бано.,ждут,ждем,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
345387,"Как буря, смерть уносит жениха...","Как буря, смерть уношу жениха...",уносит,уношу,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
263306,Уж до чего ладно складывается игра!,Уж до чего ладно складываюсь игра!,складывается,складываюсь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
312997,Я вам болезнь вашу – назову!,Я вам болезнь вашу – назовешь!,назову,назовешь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
263462,Вера аранов мало о чем свидетельствует.,Вера аранов мало о чем свидетельствую.,свидетельствует,свидетельствую,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,3
352751,Я плохо знаю Фею Тризелну.,Я плохо знаешь Фею Тризелну.,знаю,знаешь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
282034,Но война ограничится порханием бумаг.,Но война ограничусь порханием бумаг.,ограничится,ограничусь,Syntax,Subject-Predicate Agreement,noun_subj_predicate_agreement_person,noun_subj_predicate_agreement_person,librusec,2
