id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
35942,"Хорош май, под каждым кустом рай.","Хорош май, под каждый кустом рай.",каждым,каждый,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,2
44274,Так вышеупомянутый историограф рассказывает об Аэции.,Так вышеупомянутого историограф рассказывает об Аэции.,вышеупомянутый,вышеупомянутого,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
35977,"Вы что, упустили этого русского ветерана?","Вы что, упустили этот русского ветерана?",этого,этот,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
37963,Здоровый демократизм всегда был присущ пограничной жизни.,Здорового демократизм всегда был присущ пограничной жизни.,Здоровый,Здорового,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
49299,И направим нашу лодку к озеру Сиху.,И направим наша лодку к озеру Сиху.,нашу,наша,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
45298,"Удивительное дело, этой несуразицы оказалось достаточно.","Удивительному дело, этой несуразицы оказалось достаточно.",Удивительное,Удивительному,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
41008,Тип таких стариков очень знаком.,Тип такие стариков очень знаком.,таких,такие,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
47677,Он покинут Музой Дальних странствий...,Он покинут Музой Дальние странствий...,Дальних,Дальние,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
45109,Старший констебль Парриндер доверял своей интуиции.,Старшего констебль Парриндер доверял своей интуиции.,Старший,Старшего,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
48086,"О, наш вагон был счастливый!","О, нашего вагон был счастливый!",наш,нашего,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
35547,Носил с собой на всякий случай?,Носил с собой на всякого случай?,всякий,всякого,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
40271,А самые первые люди – откуда?,А самые первых люди – откуда?,первые,первых,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
48817,Осло — это вообще большой бардак.,Осло — это вообще большого бардак.,большой,большого,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,1
38424,"Что, тож в глотке полный отлив?","Что, тож в глотке полного отлив?",полный,полного,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,3
46157,Ноги сами несли ее к задней калитке.,Ноги сами несли ее к задняя калитке.,задней,задняя,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,2
33291,"Одна лампочка всего, пусть светит!","Одной лампочка всего, пусть светит!",Одна,Одной,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,2
49078,Такое предложение Женевьева слышала впервые.,Такому предложение Женевьева слышала впервые.,Такое,Такому,Syntax,Noun Phrase Agreement,np_agreement_case,np_agreement_case,librusec,2
