id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
48017,Монументальных объемов блондинка Цинтия Нейман – первой.,Монументальных объема блондинка Цинтия Нейман – первой.,объемов,объема,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,4
34478,Положение на рубежах в том краю тревожное.,Положение на рубежах в том краях тревожное.,краю,краях,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,4
44729,С этой минуты у вас кличка Полипов.,С этой минут у вас кличка Полипов.,минуты,минут,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
38680,Оно действительно не разболтал о нашей встрече.,Оно действительно не разболтал о нашей встречах.,встрече,встречах,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
48497,"Чую, не от мира сего.","Чую, не от миров сего.",мира,миров,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
44531,Спортивная шапочка с обмахрившимся краем.,Спортивная шапочка с обмахрившимся краями.,краем,краями,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
46704,Селенье подставляет солнцу бока ладных домишек.,Селенье подставляет солнцу бока ладных домишка.,домишек,домишка,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
36826,Не иначе драку на фоне ремонтируемых лимузинов.,Не иначе драку на фоне ремонтируемых лимузина.,лимузинов,лимузина,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,4
39589,Ползла с перебитым хребтом издыхающая Найда.,Ползла с перебитым хребтами издыхающая Найда.,хребтом,хребтами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
46115,Но в украинской мобиле очень плохо слышно.,Но в украинской мобилах очень плохо слышно.,мобиле,мобилах,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
34867,Тамберлик относился уже к новой исполнительской волне.,Тамберлик относился уже к новой исполнительской волнам.,волне,волнам,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
38021,"Так сказано в медицинской карте, понимаешь?","Так сказано в медицинской картах, понимаешь?",карте,картах,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
47972,Карманы распирало от тугой валюты.,Карманы распирало от тугой валют.,валюты,валют,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
40068,В этих подземельях врагов до крелла.,В этом подземельях врагов до крелла.,этих,этом,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
37890,Кальмаров ловить в зионском море...,Кальмаров ловить в зионском морях...,море,морях,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
34146,Ефим припал к холодному металлу.,Ефим припал к холодному металлам.,металлу,металлам,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
36472,Творян бы со своей чашей быстро разобрался!,Творян бы со своей чашами быстро разобрался!,чашей,чашами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
37411,Фигушки: никакого эффекта — нет газа!,Фигушки: никакого эффектов — нет газа!,эффекта,эффектов,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
33382,Из груди моей исторгся крик.,Из грудей моей исторгся крик.,груди,грудей,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
42055,Зона строгого режима и колония поселения...,Зона строгого режимов и колония поселения...,режима,режимов,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
44008,Этой последней картой был военный путч.,Этой последней картами был военный путч.,картой,картами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
47221,"Абьютес отвернулась, чтобы скрыть навернувшиеся слезы.","Абьютес отвернулась, чтобы скрыть навернувшиеся слезу.",слезы,слезу,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
42317,Потом на самой стене побоище учинил.,Потом на самой стенах побоище учинил.,стене,стенах,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
35681,В этом году студень удался небывалой силы.,В этом годах студень удался небывалой силы.,году,годах,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
46415,"На блатной музыке запел, господин хороший!","На блатной музыках запел, господин хороший!",музыке,музыках,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
46616,Сомневаться в мудрости такой задачи не приходилось.,Сомневаться в мудрости такой задач не приходилось.,задачи,задач,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,4
44821,А в этой земле смирные духи.,А в этой землях смирные духи.,земле,землях,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
39899,"Зачем я тебе нужен, Черный дэв?","Зачем я тебе нужен, Черный дэвы?",дэв,дэвы,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
33377,Прясла кружечного двора горели огнями факелов.,Прясла кружечного дворов горели огнями факелов.,двора,дворов,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,4
40672,В частном порядке задал бы его непременно.,В частном порядках задал бы его непременно.,порядке,порядках,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
38818,Или это последние остатки вашей армии?,Или это последние остатки вашей армий?,армии,армий,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
40388,Олежа уже работает в этом направлении.,Олежа уже работает в этом направлениях.,направлении,направлениях,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
40170,Кто мировой рычаг своею сжал рукой?,Кто мировой рычаг своими сжал рукой?,своею,своими,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
35418,Нужную она нашла без особого труда.,Нужную она нашла без особого трудов.,труда,трудов,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
37222,"Вагонзак, грязный, темный и вонючий.","Вагонзаки, грязный, темный и вонючий.",Вагонзак,Вагонзаки,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,4
48457,Опоздание будет стоить ей немалых упреков.,Опоздание будет стоить ей немалых упрека.,упреков,упрека,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
48496,До определенного места теория универсалий совершенно проста.,До определенного мест теория универсалий совершенно проста.,места,мест,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
41527,Таш медленно ответила низким голосом.,Таш медленно ответила низким голосами.,голосом,голосами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
35282,"Эйе доложил бы ему, хеттскому царю.","Эйе доложил бы ему, хеттскому царям.",царю,царям,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
40218,Он проходит по многим довоенным материалам.,Он проходит по многим довоенным материалу.,материалам,материалу,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
45288,"Роман кивает, с явным облегчением.","Роман кивает, с явным облегчениями.",облегчением,облегчениями,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
33834,А в каком состоянии твое государство!,А в каком состояниях твое государство!,состоянии,состояниях,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
36989,Старшой гонял кикимору по черной скользкой поверхности.,Старшой гонял кикимору по черной скользкой поверхностям.,поверхности,поверхностям,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
41933,беднякам ОДНУ ПЕА от всего урожая.,беднякам ОДНУ ПЕА от всего урожаев.,урожая,урожаев,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
46345,Энакин не был ранней пташкой.,Энакин не был ранней пташками.,пташкой,пташками,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,1
36223,Это вовсе даже и наши предки!,Это вовсе даже и наши предок!,предки,предок,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
35968,От рассказа трибуна повеяло могильным холодом.,От рассказа трибуна повеяло могильным холодами.,холодом,холодами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
36837,Раб поливает Брюса живой водой.,Раб поливает Брюса живой водами.,водой,водами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
35106,Под бдительным оком клана Деволь?,Под бдительным очами клана Деволь?,оком,очами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
37865,Больно опасные штуки они стали людям продавать.,Больно опасные штуку они стали людям продавать.,штуки,штуку,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,4
43335,"Она – Орта, пророчица Великого Храма.","Она – Орта, пророчица Великого Храмов.",Храма,Храмов,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
40262,Как по средине сей идти?,Как по срединам сей идти?,средине,срединам,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
39388,Значит Нил был единственным стражем.,Значит Нил был единственным стражами.,стражем,стражами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,1
36908,Он открыл с хмурым видом.,Он открыл с хмурым видами.,видом,видами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
46798,И каждая со своего собственного ума.,И каждая со своего собственного умов.,ума,умов,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
34642,В самом деле: этакий тарасовский Рэмбо.,В самом делах: этакий тарасовский Рэмбо.,деле,делах,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
46013,Меня сейчас интересуют проблемы другого порядка.,Меня сейчас интересуют проблемы другого порядков.,порядка,порядков,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
44524,Я не могла не узнать твои руки!,Я не могла не узнать твои руку!,руки,руку,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
36608,Винвуд повел капитана Джэми к мнимому тайнику.,Винвуд повел капитана Джэми к мнимому тайникам.,тайнику,тайникам,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,3
38970,Ночному лиходею тоже требуются занятия.,Ночному лиходеям тоже требуются занятия.,лиходею,лиходеям,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
45983,У самой границы обломалась ось.,У самой границ обломалась ось.,границы,границ,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
43693,За этим драконом – сам Медный Лес!,За этим драконами – сам Медный Лес!,драконом,драконами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
42029,Когда перешла к своему заму.,Когда перешла к своему замам.,заму,замам,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
39959,Ты ведь связана с халивинским делом?,Ты ведь связана с халивинским делами?,делом,делами,Syntax,Noun Phrase Agreement,np_agreement_number,np_agreement_number,librusec,2
