id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
53125,Он только что купил эттот дом.,Он только что купит эттот дом.,купил,купит,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,3
56878,Я только что проделал его.,Я только что проделаю его.,проделал,проделаю,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
43421,Ты же только что сказала сорок!,Ты же только что скажешь сорок!,сказала,скажешь,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,3
42824,Я только что швы обнаружил.,Я только что швы обнаружу.,обнаружил,обнаружу,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
36254,Она написала его три недели назад.,Она напишет его три недели назад.,написала,напишет,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
44251,Она только что произнесла имя Лена!,Она только что произнесет имя Лена!,произнесла,произнесет,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,3
42609,Он явно только что приехал.,Он явно только что приедет.,приехал,приедет,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
35512,Двадцать лет назад я создала сад.,Двадцать лет назад я создам сад.,создала,создам,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
53809,Я нанял вас несколько минут назад.,Я найму вас несколько минут назад.,нанял,найму,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
54232,Две недели назад он достал одного.,Две недели назад он достанет одного.,достал,достанет,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
44857,Я только что прибыл на Рабан.,Я только что прибуду на Рабан.,прибыл,прибуду,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,3
34359,Но подошел он только что.,Но подойдет он только что.,подошел,подойдет,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
33846,Я сам только что увидел!,Я сам только что увижу!,увидел,увижу,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,3
32572,Я Нэо взял только что!,Я Нэо возьму только что!,взял,возьму,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
50564,Он только что зарегистрировал там Машу.,Он только что зарегистрирует там Машу.,зарегистрировал,зарегистрирует,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
46066,Я же только что села.,Я же только что сяду.,села,сяду,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,3
58910,Ты только что предложил нам это.,Ты только что предложишь нам это.,предложил,предложишь,Semantics,Tense,single_verb_tense,single_verb_tense_expression_marker,librusec,2
