id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
177579,Опять кинул копье Радегаст Удача.,Опять кинуло копье Радегаст Удача.,кинул,кинуло,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,2
159174,Так тот сам первым руку поднял.,Так тот сам первым руку подняла.,поднял,подняла,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,2
209677,Он сам с Тиной был.,Он сам с Тиной была.,был,была,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,4
167714,Бой на поляне уж закончился.,Бой на поляне уж закончилась.,закончился,закончилась,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,3
208231,Все в порядке вещей было.,Все в порядке вещей был.,было,был,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,1
156318,Все это Стизлу было прекрасно известно.,Все это Стизлу был прекрасно известно.,было,был,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,2
152061,Аура Холта Фэснера была искажена.,Аура Холта Фэснера был искажена.,была,был,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,3
216501,Она просто Агапу хотела отомстить.,Она просто Агапу хотел отомстить.,хотела,хотел,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,2
159310,Каждый практически поляк на нее работал.,Каждый практически поляк на нее работала.,работал,работала,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,3
178705,А вот его сосуд любви высох.,А вот его сосуд любви высохла.,высох,высохла,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_gender_attractor,subj_predicate_agreement_gender_attractor,librusec,3
