id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
245906,И немцы его тоже все решили.,И немцы его тоже все решил.,решили,решил,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,1
279921,Лучше если духи дозор не выставили.,Лучше если духи дозор не выставил.,выставили,выставил,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
274352,И получится у нас всамаделишная коммуналка.,И получатся у нас всамаделишная коммуналка.,получится,получатся,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
204252,Ведун и в рваных портах страшен.,Ведун и в рваных портах страшены.,страшен,страшены,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
237236,Многие друзья молодого Мерля погибли.,Многие друзья молодого Мерля погиб.,погибли,погиб,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
220042,Только люди просто Веркой кличут.,Только люди просто Веркой кличет.,кличут,кличет,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
298291,А я тебе обязанности напомню.,А я тебе обязанности напомним.,напомню,напомним,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,1
297051,Обычно слухи об чем бывают?,Обычно слухи об чем бывает?,бывают,бывает,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
284866,Сторонний глаз ошибки их заметит разом.,Сторонний глаз ошибки их заметят разом.,заметит,заметят,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
282731,Ертоул на переправах станет надолбы ставить.,Ертоул на переправах станут надолбы ставить.,станет,станут,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,4
245159,А я вас всех сделал!..,А я вас всех сделали!..,сделал,сделали,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
258674,Шурасику первому надоели производимые Гломовым звуки.,Шурасику первому надоел производимые Гломовым звуки.,надоели,надоел,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,4
205244,А князь вам всегда поможет.,А князь вам всегда помогут.,поможет,помогут,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,1
205090,Ты их почти месяц не разбирал.,Ты их почти месяц не разбирали.,разбирал,разбирали,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
279243,Это твои дружки огры меня боятся.,Это твои дружки огры меня боится.,боятся,боится,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
209568,Да только крыльцо-то людями забито.,Да только крыльцо-то людями забиты.,забито,забиты,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,1
215763,И он их едва терпит!,И он их едва терпят!,терпит,терпят,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,1
238444,Дубильщик кож уронил семьдесят третий бокал.,Дубильщик кож уронили семьдесят третий бокал.,уронил,уронили,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,4
227832,Были у него спои скрижали.,Была у него спои скрижали.,Были,Была,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
266063,Спруилы тем временем укладывались спать.,Спруилы тем временем укладывался спать.,укладывались,укладывался,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
240907,А эти из него появились.,А эти из него появился.,появились,появился,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
247647,Чувства Макерна были обнажены до предела.,Чувства Макерна было обнажены до предела.,были,было,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
216635,Два раза молча вы любовию вздохнули...,Два раза молча вы любовию вздохнул...,вздохнули,вздохнул,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
204967,Слова любви обжились в душе Катинки.,Слова любви обжилось в душе Катинки.,обжились,обжилось,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
252883,Зачем вы сразу так ему подчиняетесь?,Зачем вы сразу так ему подчиняешься?,подчиняетесь,подчиняешься,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,1
254250,"Интересно, чего они Валета оставили?","Интересно, чего они Валета оставил?",оставили,оставил,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
280626,Вот тут он их всех уест.,Вот тут он их всех уедят.,уест,уедят,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
202553,Но служба понемногу и их обтесывала.,Но служба понемногу и их обтесывали.,обтесывала,обтесывали,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,1
213162,Но корабль шадиллов летит еще быстрее.,Но корабль шадиллов летят еще быстрее.,летит,летят,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
259735,Моя дурочка жутко псов боится.,Моя дурочка жутко псов боятся.,боится,боятся,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
268407,Глаза у ней стали шалые.,Глаза у ней стал шалые.,стали,стал,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
289124,Боги Олимпа не мыслились иа начальными.,Боги Олимпа не мыслился иа начальными.,мыслились,мыслился,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
214230,Наконец Валю возня с собаками притомила.,Наконец Валю возня с собаками притомили.,притомила,притомили,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
242354,Остальные последники меня сейчас не интересовали.,Остальные последники меня сейчас не интересовал.,интересовали,интересовал,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
215522,Я за ними Лайаня пришлю.,Я за ними Лайаня пришлем.,пришлю,пришлем,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
222265,Гнев Громовицы Опалены слишком велик.,Гнев Громовицы Опалены слишком велики.,велик,велики,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
280482,"Итак, я их совершил немало.","Итак, я их совершили немало.",совершил,совершили,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
240418,Глаза лорда Доно одобрительно блестели.,Глаза лорда Доно одобрительно блестел.,блестели,блестел,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,3
246324,Хан двадцать лет продолжал войну.,Хан двадцать лет продолжали войну.,продолжал,продолжали,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
266393,Вдруг глаза Эрда широко раскрываются.,Вдруг глаза Эрда широко раскрывается.,раскрываются,раскрывается,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
254220,Они ж меня пожаром упрекали!,Они ж меня пожаром упрекал!,упрекали,упрекал,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
270086,"Они вместе движение начинали, понял?..","Они вместе движение начинал, понял?..",начинали,начинал,Syntax,Subject-Predicate Agreement,subj_predicate_agreement_number_attractor,subj_predicate_agreement_number_attractor,librusec,2
