id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
49498,Я уже потеряла большую часть дня.,Я уже полетела большую часть дня.,потеряла,полетела,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
69310,Копнин сунул водителю стодолларовую бумажку.,Копнин посмел водителю стодолларовую бумажку.,сунул,посмел,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
60443,Утром Чейт сделал для всех объявление.,Утром Чейт позвонил для всех объявление.,сделал,позвонил,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
58394,Гайли сделала маленький шажок навстречу.,Гайли попала маленький шажок навстречу.,сделала,попала,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
29247,Я вижу герб нашего кампаку!,Я дрожу герб нашего кампаку!,вижу,дрожу,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,3
93755,Вводную я Горыне уже дал.,Вводную я Горыне уже лег.,дал,лег,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,1
6513,"Да, я оставил себя там.","Да, я вздохнул себя там.",оставил,вздохнул,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
63037,И глаза я всегда подвожу черным.,И глаза я всегда сожалею черным.,подвожу,сожалею,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,1
70985,Траки Нес вновь поправил очки.,Траки Нес вновь залез очки.,поправил,залез,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
60526,Я достал еще один доклад.,Я осел еще один доклад.,достал,осел,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,3
94608,Но вы сразу услышите его автомобиль.,Но вы сразу отойдете его автомобиль.,услышите,отойдете,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
35864,А откуда он его прострелил?,А откуда он его погас?,прострелил,погас,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,1
30356,Один клиэнт меня туда водил.,Один клиэнт меня туда вытекал.,водил,вытекал,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
71370,Великий энвольтатор замечал все и всех.,Великий энвольтатор вытекал все и всех.,замечал,вытекал,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,4
65446,Чем-то Рошеген напоминал ей Манокар.,Чем-то Рошеген выглядел ей Манокар.,напоминал,выглядел,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,1
59113,Наконец станция издала писк вызова.,Наконец станция уехала писк вызова.,издала,уехала,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
95312,Я марковской памятью кое-что помню.,Я марковской памятью кое-что приезжаю.,помню,приезжаю,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
14008,Чили теперь опять ухватил зубами сигару.,Чили теперь опять затих зубами сигару.,ухватил,затих,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,1
32940,Слышал я вчера высказывания этого Грини.,Владел я вчера высказывания этого Грини.,Слышал,владел,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,3
29157,Он мне всегда все говорит...,Он мне всегда все скучает...,говорит,скучает,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,1
52708,Я тебя очень прошу – зайдем.,Я тебя очень рыдаю – зайдем.,прошу,рыдаю,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
77155,Абдула знал дорогу к базе.,Абдула гулял дорогу к базе.,знал,гулял,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,3
63773,"Да хранит вас Господь, Болан.","Да шагает вас Господь, Болан.",хранит,шагает,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,3
32016,В кино я видела войну.,В кино я исчезала войну.,видела,исчезала,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
33359,"К тем, кто это организовал?","К тем, кто это выстрелил?",организовал,выстрелил,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
85908,Лидочка ведь не понимала телеграфного кода.,Лидочка ведь не нервничала телеграфного кода.,понимала,нервничала,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
2999,На вокзале нас встретят представители Горэкономупра.,На вокзале нас убегут представители Горэкономупра.,встретят,убегут,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,3
48945,Благословит ли меня бог этою радостью!,Подмигнет ли меня бог этою радостью!,Благословит,подмигнет,Semantics,Argument Structure,transitive_verb,transitive_verb,librusec,2
