id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
1429,Дал же бог человеку дар!,Дал же бог дару человека!,человеку,дару,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
1700,Джерсен снова сделал заказ официанту.,Джерсен снова сделал официанта заказу.,официанту,заказу,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
1271,Люк с Айрин сделали заказ официанту.,Люк с Айрин сделали официанта заказу.,официанту,заказу,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,3
1933,Тогда Юн дал королеве конфетку.,Тогда Юн дал конфетке королеву.,королеве,конфетке,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
2458,Карабин подарил дяде Степе какой-то генерал.,Дядю подарил карабину Степе какой-то генерал.,дяде,карабину,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,3
2357,Палатий не простил бы послу провала.,Палатий не простил бы провалу посла.,послу,провалу,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
2304,Полковнику Кайданову бог презентовал меч.,Мечу Кайданову бог презентовал полковника.,Полковнику,мечу,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,2
2675,Лэнгдон нехотя протянул криптекс монаху.,Лэнгдон нехотя протянул монаха криптексу.,монаху,криптексу,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
1530,Джорди сунул камень в руки мужчине.,Джорди сунул мужчину в руки камню.,мужчине,камню,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,2
2270,Ральф предупредительно открыл старухе дверь.,Ральф предупредительно открыл двери старуху.,старухе,двери,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
28048,Рой вручил жене сумку Бетти.,Рой вручил сумке жену Бетти.,жене,сумке,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,2
28421,Жаккетта неохотно предъявила кардиналу крест.,Жаккетта неохотно предъявила кресту кардинала.,кардиналу,кресту,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
2629,Лорд пожаловал князю Бересту герб.,Лорд пожаловал гербу Бересту князя.,князю,гербу,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,2
1703,Надзиратели даже не представляют трупы инспекторам.,Надзиратели даже не представляют инспекторов трупам.,инспекторам,трупам,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
2090,Уилл заранее протянул невесте руку.,Уилл заранее протянул руке невесту.,невесте,руке,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
2146,Дал же Бог человеку талант!,Дал же Бог таланту человека!,человеку,таланту,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
1236,Мария Федоровна протянула полковнику конверт.,Мария Федоровна протянула конверту полковника.,полковнику,конверту,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,2
1517,Максимов молча протянул телефон немцу.,Максимов молча протянул немца телефону.,немцу,телефону,Semantics,Argument Structure,transitive_verb_iobject,transitive_verb_iobj_perm,librusec,1
