id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
10094,Тимка водил Митьку смотреть на немого.,Тимка водил перенос смотреть на немого.,Митьку,перенос,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
33597,Симэнь попросил настоятеля принять подношения.,Симэнь попросил псевдоним принять подношения.,настоятеля,псевдоним,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
8713,Брохвич галантно уговаривал Стефу выбрать его.,Брохвич галантно уговаривал холст выбрать его.,Стефу,холст,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
8722,Джо уговорила мужа оформить их спальню.,Джо уговорила обыск оформить их спальню.,мужа,обыск,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
33986,Как долго Чатем заставлял бедняжек мучиться?,Как долго Чатем заставлял анекдоты мучиться?,бедняжек,анекдоты,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
33988,Дон Ричард послал человека убить Хелен.,Дон Ричард послал нейрон убить Хелен.,человека,нейрон,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
9739,Манату Ворсион пригласила гостя сесть.,Манату Ворсион пригласила переезд сесть.,гостя,переезд,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
9075,Мег умоляла Уортена придержать лошадей.,Мег умоляла клинок придержать лошадей.,Уортена,клинок,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
11339,Олег знаком попросил товарищей остановиться.,Олег знаком попросил дневники остановиться.,товарищей,дневники,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
34154,Клеа послала Форда убить тебя.,Клеа послала газ убить тебя.,Форда,газ,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
9454,Денис просит Крота подождать снаружи.,Денис просит забег подождать снаружи.,Крота,забег,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
12514,Поль жестом просит Элен замолчать.,Поль жестом просит ступню замолчать.,Элен,ступню,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
12995,Хан Узбек признал Михаила виновным.,Хан Узбек признал пепел виновным.,Михаила,пепел,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
12556,Не зря заключенные называли Кагаловского правдолюбом.,Не зря заключенные называли недостаток правдолюбом.,Кагаловского,недостаток,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
10632,Сноха пока называет свекровь мамой.,Сноха пока называет логику мамой.,свекровь,логику,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
10504,Илина учила Бенедикта окучивать грядки.,Илина учила фактор окучивать грядки.,Бенедикта,фактор,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
13684,Моррис считал Мари женщиной незаурядного ума.,Моррис считал высоту женщиной незаурядного ума.,Мари,высоту,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
11026,Ститри заставила мальчика открыть глаза.,Ститри заставила сервер открыть глаза.,мальчика,сервер,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
34015,Том знаком попросил Элоизу снять пластинку.,Том знаком попросил гонку снять пластинку.,Элоизу,гонку,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
13389,Нейт попросил Зейделя огласить это заключение.,Нейт попросил рассудок огласить это заключение.,Зейделя,рассудок,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
10693,В кабинете Мегрэ пригласил девушку сесть.,В кабинете Мегрэ пригласил высоту сесть.,девушку,высоту,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
9176,Мама просит офицера забрать нас силой.,Мама просит возврат забрать нас силой.,офицера,возврат,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
12562,Доктор Асфар жестом пригласил американцев входить.,Доктор Асфар жестом пригласил патриархаты входить.,американцев,патриархаты,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
10824,Приор уговорил Пинсона остаться на ужин.,Приор уговорил обман остаться на ужин.,Пинсона,обман,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
9720,Йерек оставил Скеллана валяться в грязи.,Йерек оставил свинец валяться в грязи.,Скеллана,свинец,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
10572,Торп жестом пригласил Абрамса войти.,Торп жестом пригласил кусочек войти.,Абрамса,кусочек,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
10712,Крюквелл уговорил Фицдупеля примерить плащ.,Крюквелл уговорил расстрел примерить плащ.,Фицдупеля,расстрел,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
9527,Однако Панасючка попросила Пашу задержаться.,Однако Панасючка попросила запрос задержаться.,Пашу,запрос,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
11003,Эдик учит Сашу проходить сквозь стены.,Эдик учит исход проходить сквозь стены.,Сашу,исход,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
8755,Ангерран попросил Франсуа отослать их.,Ангерран попросил бюджет отослать их.,Франсуа,бюджет,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
13351,Стон Уинна заставил Зою замолчать.,Стон Уинна заставил гонку замолчать.,Зою,гонку,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
34036,Монашка наняла человека сделать определенную работу.,Монашка наняла коммунизм сделать определенную работу.,человека,коммунизм,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
10624,Камбар Увашевич учит папу ходить.,Камбар Увашевич учит ум ходить.,папу,ум,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
11731,Ланконцы не заставляют женщин унижаться.,Ланконцы не заставляют песней унижаться.,женщин,песней,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
12375,Конар нанял полицейских дежурить около дома.,Конар нанял авторитеты дежурить около дома.,полицейских,авторитеты,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
33598,Симэнь попросил настоятеля убрать подношения.,Симэнь попросил холодильник убрать подношения.,настоятеля,холодильник,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
9689,Сабина еще раньше отпустила Изабель спать.,Сабина еще раньше отпустила башню спать.,Изабель,башню,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
13109,Тогда Сюзи попросила Костнера уйти.,Тогда Сюзи попросила девиз уйти.,Костнера,девиз,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
13816,Волкодав считал Дунгорма человеком достойным.,Волкодав считал вихорь человеком достойным.,Дунгорма,вихорь,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
12602,Тогда Линда считала мать занудой.,Тогда Линда считала каюту занудой.,мать,каюту,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
12382,Доктор Вортон оставил женщин одних.,Доктор Вортон оставил палатки одних.,женщин,палатки,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
8601,Элен жестом попросила Любу успокоиться.,Элен жестом попросила чашу успокоиться.,Любу,чашу,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
13846,Виктор попросил Славку спрятать его и...,Виктор попросил рукав спрятать его и...,Славку,рукав,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
11932,Мелиз убедил Джейка разрешить мне прыгать.,Мелиз убедил жест разрешить мне прыгать.,Джейка,жест,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
10861,Вскоре кандидат приглашал Лисичку танцевать.,Вскоре кандидат приглашал кусок танцевать.,Лисичку,кусок,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
33908,Неудивительное что Джеймс считает Филиппа неженкой!,Неудивительное что Джеймс считает феномен неженкой!,Филиппа,феномен,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
11002,Зулус попросил друга выйти к заливу.,Зулус попросил трофей выйти к заливу.,друга,трофей,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
11598,Мегре умолил Анастасию помочь людям.,Мегре умолил реставрацию помочь людям.,Анастасию,реставрацию,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
9354,Тут Кара позвала Рида ужинать.,Тут Кара позвала фильм ужинать.,Рида,фильм,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
34520,Поэтому Фелиситэ не пригласила ирландца войти.,Поэтому Фелиситэ не пригласила инцидент войти.,ирландца,инцидент,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
9313,На привалах Марэн просил Тильво петь.,На привалах Марэн просил особняк петь.,Тильво,особняк,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
13125,Следж не заставлял Смита признаваться.,Следж не заставлял отбор признаваться.,Смита,отбор,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
12057,Розниекс попросил Уступса пройти вперед.,Розниекс попросил перенос пройти вперед.,Уступса,перенос,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
33602,Симэнь оставил Циньтуна убрать посуду.,Симэнь оставил сервер убрать посуду.,Циньтуна,сервер,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
13116,Изыльметьев пригласил гостей послушать пение матросов.,Изыльметьев пригласил чипы послушать пение матросов.,гостей,чипы,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
12880,А царь Свимон называл Зураба отцом.,А царь Свимон называл буддизм отцом.,Зураба,буддизм,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
10303,Затем визитер попросил свидетеля проводить его.,Затем визитер попросил парадокс проводить его.,свидетеля,парадокс,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
11398,Шеф кивком попросил секретаршу выйти.,Шеф кивком попросил известность выйти.,секретаршу,известность,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
9132,Уэйлин попросил водителя объехать квартал кругом.,Уэйлин попросил контроль объехать квартал кругом.,водителя,контроль,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
11409,Многие считают Лотура сыном Вальфатера.,Многие считают эфир сыном Вальфатера.,Лотура,эфир,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
33612,Симэнь наказал Дайаню седлать коня.,Симэнь наказал эволюцию седлать коня.,Дайаню,эволюцию,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
34442,Джинни снова отпустила Варду побегать.,Джинни снова отпустила прицел побегать.,Варду,прицел,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,1
34256,Пол попросил официанта наполнить ее бокал.,Пол попросил возраст наполнить ее бокал.,официанта,возраст,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
11345,Малко попросил водителя свернуть к Соур-роуд.,Малко попросил замысел свернуть к Соур-роуд.,водителя,замысел,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,3
34677,Пол подозвал официанта убрать тарелки.,Пол подозвал уровень убрать тарелки.,официанта,уровень,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
13004,Только раз Бахирев увидел Тину замкнутой.,Только раз Бахирев увидел раду замкнутой.,Тину,раду,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,librusec,2
30225,Хабиб попросил подписчиков оценить навыки Гэтжи.,Хабиб попросил баскетболы оценить навыки Гэтжи.,подписчиков,баскетболы,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,wikinews,3
29902,Илюмжинов призвал Крамника продолжить матч.,Илюмжинов призвал парадокс продолжить матч.,Крамника,парадокс,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,wikinews,2
31154,Реджи уговаривает Бакума работать вместе.,Реджи уговаривает клип работать вместе.,Бакума,клип,Semantics,Argument Structure,transitive_verb_object,transitive_verb_obj,wikipedia,2
