id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
837,Виски были предусмотрительно облеплены пиявками.,Пиявки были предусмотрительно облеплены виски.,пиявками,виски,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,1
749,Суд был назначен царем в тот же час.,Царь был назначен судом в тот же час.,царем,судом,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,3
29624,Оба экземпляра были подписаны государем.,Оба государя были подписаны экземпляром.,государем,экземпляром,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
846,Однако заговор был раскрыт предателем.,Однако предатель был раскрыт заговором.,предателем,заговором,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,1
802,Заговор был организован генералом Каджаром.,Генерал был организован заговором Каджаром.,генералом,заговором,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
816,Форт был атакован коммодором Стрингемом и генералом Батлером.,Коммодор был атакован фортом Стрингемом и генералом Батлером.,коммодором,фортом,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,3
831,"Ею задумана игра, вы потом все поймете.","Игрой задумана она, вы потом все поймете.",Ею,игрой,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
754,Порция была очарована малышкой Джозефин.,Малышка была очарована порцией Джозефин.,малышкой,порцией,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
854,Им переведены на казахский язык три романа.,Романом переведены на казахский язык три его.,Им,романом,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,3
830,Зато мода считалась с Донной Анной.,Зато донна считалась с Модой Анной.,Донной,модой,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
29634,Псалтирь была отправлена леди Аликс.,Леди была отправлена псалтирью Аликс.,леди,псалтирью,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
29643,"Словно замок захвачен врагом, подумала Мадлен.","Словно враг захвачен замком, подумала Мадлен.",врагом,замком,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
798,"Объект атакован противником, – сообщает КОП.","Противник атакован объектом, – сообщает КОП.",противником,объектом,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_perm,librusec,2
6062,Двор был заполнен его людьми и армией Риза.,Двор был заполнен его выпусками и армией Риза.,людьми,выпусками,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_rand,librusec,3
6363,"Эс Мерлин понял, что решение им принято.","Эс Мерлин понял, что решение краном принято.",им,краном,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_rand,librusec,3
6547,Аббатство Глинобитная Обитель было поглощено ею.,Аббатство Глинобитная Обитель было поглощено тьмой.,ею,тьмой,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_rand,librusec,3
39624,"Замок построен Мерридом, третьим Главой Некромансеров.","Замок построен монитором, третьим Главой Некромансеров.",Мерридом,монитором,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_rand,librusec,3
6417,Орудие было впервые выпущено мастером из рук.,Орудие было впервые выпущено выдохом из рук.,мастером,выдохом,Semantics,Argument Structure,transitive_verb_passive,transitive_verb_passive_rand,librusec,2
