id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
26682,Девушка прикурила сигарету и селя рядом.,Сигарета прикурила девушку и селя рядом.,Девушка,сигарета,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
37507,Отец словно задал мне вопрос.,Вопрос словно задал мне отца.,Отец,вопрос,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,1
33008,Гребцы той порой отвязали канаты.,Канаты той порой отвязали гребцов.,Гребцы,канаты,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
29885,Моргот нанес еще один удар.,Удар нанес еще один моргота.,Моргот,удар,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,3
30955,Но собеседник отослал прочь гнев.,Но гнев отослал прочь собеседника.,собеседник,гнев,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,1
28427,Доктор Бано еще раз повернул руль.,Руль Бано еще раз повернул доктора.,Доктор,руль,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,3
36411,Мастер Агвальт протянул ему бокал.,Бокал Агвальт протянул ему мастера.,Мастер,бокал,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
31514,Но магшал не увидел здесь подвоха.,Но подвох не увидел здесь магшала.,магшал,подвох,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,1
34145,Министр Гальвингстон проводит там отпуск.,Отпуск Гальвингстон проводит там министра.,Министр,отпуск,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
33936,Лось бросил взгляд на приборы.,Взгляд бросил лося на приборы.,Лось,взгляд,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
38700,Император в упоении отбивал такт рукой.,Такт в упоении отбивал императора рукой.,Император,такт,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
37259,Водитель вывернул звук до отказа.,Звук вывернул водителя до отказа.,Водитель,звук,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
32481,Но женщина насмешки не почувствовала.,Но насмешка женщины не почувствовала.,женщина,насмешка,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,1
36618,Между тем кюре начал обряд.,Между тем обряд начал кюре.,кюре,обряд,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
39121,Ранкор сделал еще один шаг.,Шаг сделал еще один ранкора.,Ранкор,шаг,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,3
33198,Да и пар дедушка сбросил.,Да и дедушку пар сбросил.,дедушка,пар,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
26780,Киндри набрал в грудь побольше воздуха.,Воздух набрал в грудь побольше киндри.,Киндри,воздух,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,3
27489,И снова покинул Киевгород царевич Ваня.,И снова покинул царевича Киевгород Ваня.,царевич,киевгород,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
31973,Субурхан бросил щит на землю.,Щит бросил субурхана на землю.,Субурхан,щит,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
29489,Зулус принес котелок от костра.,Котелок принес зулуса от костра.,Зулус,котелок,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
33820,Генерал бросил взгляд на часы.,Взгляд бросил генерала на часы.,Генерал,взгляд,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
26549,Товарищ Север вопрос обдумал досконально.,Вопрос Север товарища обдумал досконально.,Товарищ,вопрос,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
40143,Тут-то Эди-бэби и услышал ее акцент.,Тут-то Акцент и услышал ее эди-бэби.,Эди-бэби,акцент,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
32948,Председатель составлял доклад комитету общества.,Доклад составлял председателя комитету общества.,Председатель,доклад,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
30023,Майор взвалил ящик на сани.,Ящик взвалил майора на сани.,Майор,ящик,Semantics,Argument Structure,transitive_verb_subject,transitive_verb_subject_perm,librusec,2
