id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
127370,Ее нервировал сидящий напротив субъект.,Ей нервировал сидящий напротив субъект.,Ее,Ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,3
103961,"И кур запирали впотьмах, ощупкой.","И курам запирали впотьмах, ощупкой.",кур,курам,Syntax,Government,verb_acc_object,verb_acc_object,librusec,3
72859,И это ему прямо говорили.,И этого ему прямо говорили.,это,этого,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
79712,"Симилор понял, что его обнаружили.","Симилор понял, что ему обнаружили.",его,ему,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
147492,А тебя бы Фавушкой звала.,А тебе бы Фавушкой звала.,тебя,тебе,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
112531,Но вы же знаете женщин!,Но вы же знаете женщинам!,женщин,женщинам,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
109302,Часто искал ее у Шелепина.,Часто искал ей у Шелепина.,ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
124232,Болтенко поджег его первым же снарядом.,Болтенко поджег ему первым же снарядом.,его,ему,Syntax,Government,verb_acc_object,verb_acc_object,librusec,3
29937,Вы меня работой не перетрудите?,Вы мне работой не перетрудите?,меня,мне,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
418,Это просто имеющая форму смесь вероятностей.,Это просто имеющая форме смесь вероятностей.,форму,форме,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
48315,Мир больше не пугал ее.,Мир больше не пугал ей.,ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
113357,Хартер взял у нее бокал.,Хартер взял у нее бокала.,бокал,бокала,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
120858,И снова его выручила Юна.,И снова ему выручила Юна.,его,ему,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
96717,Пусть понимает ответ как хочет.,Пусть понимает ответа как хочет.,ответ,ответа,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
7006,Но тот крепко побил ученика.,Но тот крепко побил ученику.,ученика,ученику,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
17276,"Значит, его сравнение ее обидело?","Значит, его сравнение ей обидело?",ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,3
141709,Пишет на их кафедре диплом.,Пишет на их кафедре диплома.,диплом,диплома,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
4825,Сын Хэнока одарил ее холодной усмешкой.,Сын Хэнока одарил ей холодной усмешкой.,ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,3
98646,На этот раз ее звал Джеймс.,На этот раз ей звал Джеймс.,ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
38440,Но кто принес их тебе?,Но кто принес им тебе?,их,им,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
15251,"Конечно, решили дело твои деньги.","Конечно, решили делу твои деньги.",дело,делу,Syntax,Government,verb_acc_object,verb_acc_object,librusec,3
58195,Ведь она сама недавно проверила его!,Ведь она сама недавно проверила ему!,его,ему,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
3411,"Или Катька соврала, зло подшутила?..","Или Катька соврала, злу подшутила?..",зло,злу,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
45197,Слышала бы это Дороти Хилмэн.,Слышала бы этого Дороти Хилмэн.,это,этого,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
50726,Мунн бросил меч и захохотал.,Мунн бросил меча и захохотал.,меч,меча,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
30607,Джада повернула к ней голову.,Джада повернула к ней голове.,голову,голове,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
113308,Неужели наемники Хедена застрелили братьев?,Неужели наемники Хедена застрелили братьям?,братьев,братьям,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
96253,Дарси притянула сына к себе.,Дарси притянула сыну к себе.,сына,сыну,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
8048,Отец меня немного учил драться...,Отец мне немного учил драться...,меня,мне,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
88497,С ближайшего телефона дадите им направление.,С ближайшего телефона дадите им направлению.,направление,направлению,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
57575,Она сняла малыша с колен Пэт.,Она сняла малышу с колен Пэт.,малыша,малышу,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
45492,Эш вперил взгляд в Жота.,Эш вперил взгляда в Жота.,взгляд,взгляда,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
83365,У ворот Зувейлы их встретил Шавар.,У ворот Зувейлы им встретил Шавар.,их,им,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
130622,Сыпучка медленно сдвигала меня вниз.,Сыпучка медленно сдвигала мне вниз.,меня,мне,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
114356,Потом Бинк мягко отстранил ее.,Потом Бинк мягко отстранил ей.,ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
3245,"Саймон простонал, явно узнав их.","Саймон простонал, явно узнав им.",их,им,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
103072,Ионел протянул руку мошу Дионису.,Ионел протянул руке мошу Дионису.,руку,руке,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
42824,Там уже перехватывал его Раф.,Там уже перехватывал ему Раф.,его,ему,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
113186,Карл Назарян вот-вот скинет тебе информацию.,Карл Назарян вот-вот скинет тебе информацией.,информацию,информацией,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
35063,Ник пробил ему фанеру вторично.,Ник пробил ему фанере вторично.,фанеру,фанере,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
37232,Он нехотя потащил из ножен Меч.,Он нехотя потащил из ножен Меча.,Меч,Меча,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
13326,Но я сам чиню его.,Но я сам чиню ему.,его,ему,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
3315,"Даже дети появились, подбирали оружие.","Даже дети появились, подбирали оружию.",оружие,оружию,Syntax,Government,verb_acc_object,verb_acc_object,librusec,3
5295,"Только тем, что подарки дарю?","Только тем, что подарков дарю?",подарки,подарков,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
44724,Слова Элли разрывали Амбер душу!,Слова Элли разрывали Амбер душе!,душу,душе,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
92725,Эдива выпила бульон и поднялась.,Эдива выпила бульона и поднялась.,бульон,бульона,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
85896,Мрак молча закрыл старику глаза.,Мрак молча закрыл старику глазам.,глаза,глазам,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
90900,Каллиопа тут же закрыла коробочки.,Каллиопа тут же закрыла коробочек.,коробочки,коробочек,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
92474,Киган испытывает к ней страсть?,Киган испытывает к ней страстью?,страсть,страстью,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
88534,Неужели Королев и это помнит?,Неужели Королев и этого помнит?,это,этого,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
86062,Только отец так ее защищал.,Только отец так ей защищал.,ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
12453,Тео осторожно смотал ее со спирали.,Тео осторожно смотал ей со спирали.,ее,ей,Syntax,Government,verb_acc_object,verb_acc_object,librusec,2
6079,И снова Дахут произнесла имя.,И снова Дахут произнесла имени.,имя,имени,Syntax,Government,verb_acc_object,verb_acc_object,librusec,1
