id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
115579,Почему ты не вызвал солдат?,Почему ты не вызвал солдатами?,солдат,солдатами,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
99902,А меня почему не взял?,А мной почему не взял?,меня,мной,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
63403,А колеса – даже не представляю.,А колесом – даже не представляю.,колеса,колесом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,3
138838,Все ясно они ждут ночи.,Все ясно они ждут ночью.,ночи,ночью,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
134484,Лусинда достаточно времени прожила в бедности.,Лусинда достаточно временем прожила в бедности.,времени,временем,Syntax,Government,verb_gen_object,verb_gen_object,librusec,3
68221,Почему же Манон не замечала ее?,Почему же Манон не замечала ней?,ее,ней,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
90658,Мелис не отрывала глаз от поверхности.,Мелис не отрывала глазами от поверхности.,глаз,глазами,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
123313,И школа не подсказала им этого.,И школа не подсказала им этим.,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
81360,Эсмонд и Лейле налил немного вина.,Эсмонд и Лейле налил немного вином.,вина,вином,Syntax,Government,verb_gen_object,verb_gen_object,librusec,4
132655,И пожар его не возьмет.,И пожар им не возьмет.,его,им,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
120244,"Ты ничего, головы не потерял?","Ты ничего, головой не потерял?",головы,головой,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
116518,Глэдни уже не скрывал смеха.,Глэдни уже не скрывал смехом.,смеха,смехом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
126738,Здесь герцог ее не достанет.,Здесь герцог ней не достанет.,ее,ней,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
85049,Ноги ее не чувствовали пола.,Ноги ее не чувствовали полом.,пола,полом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
126547,Не получил его я и сейчас.,Не получил им я и сейчас.,его,им,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
98373,Хеден ожидает от нас именно этого.,Хеден ожидает от нас именно этим.,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,3
117422,"А туда же, любви захотел!","А туда же, любовью захотел!",любви,любовью,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
117859,"Я не видел души, Игрен...","Я не видел душой, Игрен...",души,душой,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
97115,Опасений я не знал бы!,Опасениями я не знал бы!,Опасений,Опасениями,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
80398,Разве вся земля Филдинга этого стоит?,Разве вся земля Филдинга этим стоит?,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
118476,Но мы ее не допустим.,Но мы ней не допустим.,ее,ней,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
106343,Вон их сколько сейчас стоит.,Вон ими сколько сейчас стоит.,их,ими,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
134693,Брэнд не дал Верене времени ответить.,Брэнд не дал Верене временем ответить.,времени,временем,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
106830,Бо больше ее не слышал.,Бо больше ней не слышал.,ее,ней,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
126259,Поэтому скала не приняла тебя.,Поэтому скала не приняла тобой.,тебя,тобой,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
120689,И не признавал больше отца.,И не признавал больше отцом.,отца,отцом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
61859,Накса вытащила кляпы и ждала реакции.,Накса вытащила кляпы и ждала реакцией.,реакции,реакцией,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
126142,Даже ты не видел удара.,Даже ты не видел ударом.,удара,ударом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
71628,"Правда, пока этого не знает.","Правда, пока этим не знает.",этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
102067,А слов я не знаю.,А словами я не знаю.,слов,словами,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
131306,Уорик не сделает ей предложения.,Уорик не сделает ей предложением.,предложения,предложением,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
60045,Актер Менглет не гонял сам мяча.,Актер Менглет не гонял сам мячом.,мяча,мячом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
132083,Число потомков Хуннула достигало теперь сотни.,Число потомков Хуннула достигало теперь сотней.,сотни,сотней,Syntax,Government,verb_gen_object,verb_gen_object,librusec,3
67304,Но настоящее не отпускало ее.,Но настоящее не отпускало ней.,ее,ней,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
99042,Но доктор и этого не услышал.,Но доктор и этим не услышал.,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
82008,Коль настоящей не возьмешь воды.,Коль настоящей не возьмешь водой.,воды,водой,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
123273,"Жилы тянул, кости рук отсекал.","Жилы тянул, кости руками отсекал.",рук,руками,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
133958,Не только меня не понимают?,Не только мной не понимают?,меня,мной,Syntax,Government,verb_gen_object,verb_gen_object,librusec,3
92664,Сколько из них избежало кола?,Сколько из них избежало колом?,кола,колом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,3
109012,Весь сам он жаждет любви.,Весь сам он жаждет любовью.,любви,любовью,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
82595,Отведи этого обратно в камеру!,Отведи этим обратно в камеру!,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
135530,Лучше бы Бет этого не говорила.,Лучше бы Бет этим не говорила.,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
80389,Джед тоже этого не любил.,Джед тоже этим не любил.,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
104150,Ты всегда слишком много его требовала.,Ты всегда слишком много им требовала.,его,им,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
64089,Или ждала инициативы от меня?,Или ждала инициативой от меня?,инициативы,инициативой,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
119629,Фултон не обратил внимания на Ленаганов.,Фултон не обратил вниманием на Ленаганов.,внимания,вниманием,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
102946,Алек желал этого не меньше.,Алек желал этим не меньше.,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,2
72078,И явно не забывал их.,И явно не забывал ими.,их,ими,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
124806,Да и вообще неба не видят.,Да и вообще небом не видят.,неба,небом,Syntax,Government,verb_gen_object,verb_gen_object,librusec,3
131682,Но ведь Кефсе этого не понимал?,Но ведь Кефсе этим не понимал?,этого,этим,Syntax,Government,verb_gen_object,verb_gen_object,librusec,1
