id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
39730,"Как махну рукой, станет улочка!","Как махну руке, станет улочка!",рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
40152,Стоит Роза и машет вниз рукой.,Стоит Роза и машет вниз руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
40453,Сметанкой польем — с вилкой проглотите!,Сметанке польем — с вилкой проглотите!,Сметанкой,Сметанке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
42723,Тадонг побарабанил пальцами по предплечью.,Тадонг побарабанил пальцам по предплечью.,пальцами,пальцам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
33408,Думбльдор чуть заметно шевельнул палочкой.,Думбльдор чуть заметно шевельнул палочке.,палочкой,палочке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
33138,Ты овладел мною в поле.,Ты овладел мне в поле.,мною,мне,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
40138,Менее опытные не владели образами.,Менее опытные не владели образам.,образами,образам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
29835,На самом деле мной управляет Он!,На самом деле мне управляет Он!,мной,мне,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
39869,Рэнд владел мечом не очень хорошо.,Рэнд владел мечу не очень хорошо.,мечом,мечу,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
37932,"Конечно, чуть шевельнула головой Кета.","Конечно, чуть шевельнула голове Кета.",головой,голове,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
32746,Руководил нами Михаил Кузьмич Мышев.,Руководил нам Михаил Кузьмич Мышев.,нами,нам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
30791,Сверлят зубами тот же все кусок.,Сверлят зубам тот же все кусок.,зубами,зубам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
31533,"Ди Мерат вздохнул, захрустел пальцами.","Ди Мерат вздохнул, захрустел пальцам.",пальцами,пальцам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
32914,Джо Эдди и пальцем не пошевелил.,Джо Эдди и пальцу не пошевелил.,пальцем,пальцу,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
31904,"Эрмин покачнулся, отчаянно замахал руками.","Эрмин покачнулся, отчаянно замахал рукам.",руками,рукам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
37234,Им руководил самый настоящий расчет!,Ему руководил самый настоящий расчет!,Им,Ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
36056,Из-за забора им махали рукой Бертраны.,Из-за забора им махали руке Бертраны.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
43157,Неликс успокаивающе замахал на него руками.,Неликс успокаивающе замахал на него рукам.,руками,рукам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
29483,Вряд ли пускателем управлял человек.,Вряд ли пускателю управлял человек.,пускателем,пускателю,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
43103,Кит помахала перед ним ключом.,Кит помахала перед ним ключу.,ключом,ключу,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
29390,И поэтому просто помахала рукой.,И поэтому просто помахала руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
36533,Мадам Муфф помахала ему рукой.,Мадам Муфф помахала ему руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
41622,Что им руководит в таких случаях?,Что ему руководит в таких случаях?,им,ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
39946,Однако даже дети наши управляют быками.,Однако даже дети наши управляют быкам.,быками,быкам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
35276,Но Джайрс лишь отрицательно помотал головой.,Но Джайрс лишь отрицательно помотал голове.,головой,голове,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
39599,Истмэн встал и помахал рукой.,Истмэн встал и помахал руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
33164,Рой весело махал хвостом у калитки.,Рой весело махал хвосту у калитки.,хвостом,хвосту,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
39393,Только одна владела им до конца!,Только одна владела ему до конца!,им,ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
35808,И Болотник тоже – управляет ими.,И Болотник тоже – управляет них.,ими,них,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
40732,Дневальный больше не командовал мною.,Дневальный больше не командовал мне.,мною,мне,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
32277,Том Дикс помахал Миклему рукой.,Том Дикс помахал Миклему руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
33068,Роб Всякограб беспечно махнул рукой.,Роб Всякограб беспечно махнул руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
36769,Ты махала мне весело рукой.,Ты махала мне весело руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
36102,Джек увидел Ли и помахал рукой.,Джек увидел Ли и помахал руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
37380,Я же им несколько владею.,Я же ему несколько владею.,им,ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
36784,На шестой крылами шевелит сверчок.,На шестой крылам шевелит сверчок.,крылами,крылам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
30279,Тут ими овладел восторг великий.,Тут них овладел восторг великий.,ими,них,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
36790,Вот он как царь правит народами!,Вот он как царь правит народам!,народами,народам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
38527,Де Ленгли сонно помахал головой.,Де Ленгли сонно помахал голове.,головой,голове,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
29383,Он улыбнулся и помахал Наде рукой.,Он улыбнулся и помахал Наде руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
41934,Да ими словно руководил опытнейший полководец!,Да них словно руководил опытнейший полководец!,ими,них,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
32922,Мельбе я ручкой не помахал.,Мельбе я ручке не помахал.,ручкой,ручке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
41316,Руководил парнями очень тучный грабитель.,Руководил парням очень тучный грабитель.,парнями,парням,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
39070,Она помахала им перед Эриком Геллманом.,Она помахала ему перед Эриком Геллманом.,им,ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
36938,Правили нами варяги — мы молчали.,Правили нам варяги — мы молчали.,нами,нам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
35168,Им правил Большой Эл Макрей.,Ему правил Большой Эл Макрей.,Им,Ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
38119,Либби крепче сжала пальцами стакан.,Либби крепче сжала пальцам стакан.,пальцами,пальцам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
36798,ты за это испытуем бедой.,ты за это испытуем беде.,бедой,беде,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
41220,От ярости Павел скрежетал зубами.,От ярости Павел скрежетал зубам.,зубами,зубам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
32902,В президио волнение овладело и женщинами.,В президио волнение овладело и женщинам.,женщинами,женщинам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
30820,Нихонец Люлю владел палкой виртуозно.,Нихонец Люлю владел палке виртуозно.,палкой,палке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
31537,"Фургоном правил командир наемников, Рамдан.","Фургону правил командир наемников, Рамдан.",Фургоном,Фургону,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
43208,"Успокойся и шевели мозгами, Шама.","Успокойся и шевели мозгам, Шама.",мозгами,мозгам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,3
41710,От дверей отделения им махал Рон.,От дверей отделения ему махал Рон.,им,ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
32551,"Раздавив Гханаши, Лотар завладел троном.","Раздавив Гханаши, Лотар завладел трону.",троном,трону,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
41325,Только собака приветливо замахала Витале хвостом.,Только собака приветливо замахала Витале хвосту.,хвостом,хвосту,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
40949,"Так думал Богдамир, шевеля перчатками.","Так думал Богдамир, шевеля перчаткам.",перчатками,перчаткам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
41846,Кричит и машет руками Артагорт.,Кричит и машет рукам Артагорт.,руками,рукам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
32549,Помимо воли им овладела грусть.,Помимо воли ему овладела грусть.,им,ему,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
39949,Буська приветливо помахал ему рукой.,Буська приветливо помахал ему руке.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,1
30320,Так и сегодня мной руководи.,Так и сегодня мне руководи.,мной,мне,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
33000,Собеский руководил боем с холма.,Собеский руководил бою с холма.,боем,бою,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
43081,Фейриль помахала рукой перед носом.,Фейриль помахала руке перед носом.,рукой,руке,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
37786,Зато сколько народу нами руководит!,Зато сколько народу нам руководит!,нами,нам,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
40625,Он помахал ими ради опыта.,Он помахал них ради опыта.,ими,них,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
34721,А хорошо владел языком скорее Полянский.,А хорошо владел языку скорее Полянский.,языком,языку,Syntax,Government,verb_ins_object,verb_ins_object,librusec,2
1182,Именно он сейчас владеет поясом.,Именно он сейчас владеет поясу.,поясом,поясу,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,2
642,А кто непосредственно руководил боем?,А кто непосредственно руководил бою?,боем,бою,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,1
3712,Победительницей же стала румынка Дарина Нихай.,Победительнице же стала румынка Дарина Нихай.,Победительницей,Победительнице,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,4
1317,Ими также руководил Николай Бондарик.,Них также руководил Николай Бондарик.,Ими,Них,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,2
2863,Но фактически предприятием руководили люди Шишкана.,Но фактически предприятию руководили люди Шишкана.,предприятием,предприятию,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,2
3494,Возьмитель с самого начала руководил тушением.,Возьмитель с самого начала руководил тушению.,тушением,тушению,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,2
365,Им стал Али Мухаммад Геди.,Ему стал Али Мухаммад Геди.,Им,Ему,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,2
200,Институтом руководит жена господина фон Хагенса.,Институту руководит жена господина фон Хагенса.,Институтом,Институту,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,4
1763,Многие песни Башле стали хитами.,Многие песни Башле стали хитам.,хитами,хитам,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,2
3083,Гор не только управляет рестораном.,Гор не только управляет ресторану.,рестораном,ресторану,Syntax,Government,verb_ins_object,verb_ins_object,wikinews,2
27282,После завершения карьеры Монсаливе стал тренером.,После завершения карьеры Монсаливе стал тренеру.,тренером,тренеру,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,2
26874,Айван Милат позже тоже стал фигурантом.,Айван Милат позже тоже стал фигуранту.,фигурантом,фигуранту,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,2
19665,Заговорщиками руководил некий Васка Умонец.,Заговорщикам руководил некий Васка Умонец.,Заговорщиками,Заговорщикам,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,2
27433,Клуб Ваккер Вена впервые стал чемпионом.,Клуб Ваккер Вена впервые стал чемпиону.,чемпионом,чемпиону,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,3
18147,Впоследствии областями управлял Тоетоми Хидэеси.,Впоследствии областям управлял Тоетоми Хидэеси.,областями,областям,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,2
5015,Вместо Онаньи посадником стал Михалко Степанич.,Вместо Онаньи посаднику стал Михалко Степанич.,посадником,посаднику,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,3
8591,Его сын Осазе также стал футболистом.,Его сын Осазе также стал футболисту.,футболистом,футболисту,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,2
16325,Руководил строительством француз Пьер Гадье.,Руководил строительству француз Пьер Гадье.,строительством,строительству,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,3
26854,Проектом руководили инженеры Альби и Резаль.,Проекту руководили инженеры Альби и Резаль.,Проектом,Проекту,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,4
28155,Совершенный в сатье обладает ясновидением.,Совершенный в сатье обладает ясновидению.,ясновидением,ясновидению,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,3
21551,Сын Игорь тоже стал парикмахером.,Сын Игорь тоже стал парикмахеру.,парикмахером,парикмахеру,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,2
25088,Отрядом командовал майор Францишек Пржишезняк.,Отряду командовал майор Францишек Пржишезняк.,Отрядом,Отряду,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,3
23483,Впоследствии Тумс вновь стал стариком.,Впоследствии Тумс вновь стал старику.,стариком,старику,Syntax,Government,verb_ins_object,verb_ins_object,wikipedia,1
