,Imp,Perf
0,арестовывать,арестовать
1,благословлять,благословить
2,благоустраивать,благоустроить
3,бросать,бросить
4,бросаться,броситься
5,вбегать,вбежать
6,вбивать,вбить
7,вбирать,вобрать
8,вбрасывать,вбросить
9,ввергать,ввергнуть
10,вверять,вверить
11,вводить,ввести
12,ввозить,ввезти
13,ввязываться,ввязаться
14,вгонять,вогнать
15,вдаваться,вдаться
16,вдавливать,вдавить
17,вдохновлять,вдохновить
18,вдохновляться,вдохновиться
19,вдыхать,вдохнуть
20,вживаться,вжиться
21,вживлять,вживить
22,взбивать,взбить
23,взбираться,взобраться
24,взваливать,взвалить
25,взвешивать,взвесить
26,взвинчивать,взвинтить
27,взводить,взвести
28,вздрагивать,вздрогнуть
29,вздыхать,вздохнуть
30,взламывать,взломать
31,взлетать,взлететь
32,взмахивать,взмахнуть
33,взмывать,взмыть
34,взращивать,взрастить
35,взрезать,взрезать
36,взрывать,взорвать
37,взрываться,взорваться
38,взывать,воззвать
39,взыскивать,взыскать
40,видоизменять,видоизменить
41,видоизменяться,видоизмениться
42,вкалывать,вколоть
43,вкладывать,вложить
44,вклеивать,вклеить
45,вклиниваться,вклиниться
46,включать,включить
47,включаться,включиться
48,вкушать,вкусить
49,вламываться,вломиться
50,влезать,влезть
51,влетать,влететь
52,вливать,влить
53,вливаться,влиться
54,влюблять,влюбить
55,влюбляться,влюбиться
56,вменять,вменить
57,вмешиваться,вмешаться
58,вмещать,вместить
59,вмещаться,вместиться
60,внедрять,внедрить
61,внедряться,внедриться
62,вникать,вникнуть
63,внимать,внять
64,вносить,внести
65,внушать,внушить
66,вовлекать,вовлечь
67,вовлекаться,вовлечься
68,водружать,водрузить
69,возбуждать,возбудить
70,возбуждаться,возбудиться
71,возвеличивать,возвеличить
72,возвещать,возвестить
73,возводить,возвести
74,возвращать,возвратить
75,возвращаться,возвратиться
76,возвышать,возвысить
77,возвышаться,возвыситься
78,возглавлять,возглавить
79,возгораться,возгореться
80,воздавать,воздать
81,воздвигать,воздвигнуть
82,возделывать,возделать
83,воздерживаться,воздержаться
84,возлагать,возложить
85,возмещать,возместить
86,возмущать,возмутить
87,возмущаться,возмутиться
88,вознаграждать,вознаградить
89,возникать,возникнуть
90,возносить,вознести
91,возноситься,вознестись
92,возобновлять,возобновить
93,возобновляться,возобновиться
94,возражать,возразить
95,возрастать,возрасти
96,возрождать,возродить
97,возрождаться,возродиться
98,вонзать,вонзить
99,вонзаться,вонзиться
100,воображать,вообразить
101,воодушевлять,воодушевить
102,вооружать,вооружить
103,вооружаться,вооружиться
104,воплощать,воплотить
105,воплощаться,воплотиться
106,вопрошать,вопросить
107,восклицать,воскликнуть
108,воскресать,воскреснуть
109,воскрешать,воскресить
110,воспевать,воспеть
111,воспитывать,воспитать
112,воспламенять,воспламенить
113,воспламеняться,воспламениться
114,восполнять,восполнить
115,воспрещать,воспретить
116,воспринимать,воспринять
117,воспроизводить,воспроизвести
118,воссоединять,воссоединить
119,воссоединяться,воссоединиться
120,воссоздавать,воссоздать
121,восставать,восстать
122,восстанавливать,восстановить
123,восстанавливаться,восстановиться
124,восхищать,восхитить
125,восхищаться,восхититься
126,восходить,взойти
127,воцаряться,воцариться
128,впадать,впасть
129,впиваться,впиться
130,вписывать,вписать
131,вписываться,вписаться
132,впитывать,впитать
133,вплетать,вплести
134,впрыскивать,впрыснуть
135,впускать,впустить
136,врастать,врасти
137,врезать,врезать
138,врезаться,врезаться
139,вручать,вручить
140,врываться,ворваться
141,вселять,вселить
142,вселяться,вселиться
143,вскакивать,вскочить
144,вскармливать,вскормить
145,вскидывать,вскинуть
146,вскрикивать,вскрикнуть
147,вскрывать,вскрыть
148,вскрываться,вскрыться
149,вспарывать,вспороть
150,вспахивать,вспахать
151,всплывать,всплыть
152,вспоминать,вспомнить
153,вспоминаться,вспомниться
154,вспыхивать,вспыхнуть
155,вставать,встать
156,вставлять,вставить
157,встраивать,встроить
158,встраиваться,встроиться
159,встречать,встретить
160,встречаться,встретиться
161,встряхивать,встряхнуть
162,вступать,вступить
163,вступаться,вступиться
164,всходить,взойти
165,всыпать,всыпать
166,втираться,втереться
167,вторгаться,вторгнуться
168,втыкать,воткнуть
169,втыкаться,воткнуться
170,втягивать,втянуть
171,втягиваться,втянуться
172,входить,войти
173,вцепляться,вцепиться
174,вшивать,вшить
175,въезжать,въехать
176,выбегать,выбежать
177,выбивать,выбить
178,выбиваться,выбиться
179,выбирать,выбрать
180,выбираться,выбраться
181,выбрасывать,выбросить
182,выбрасываться,выброситься
183,выбывать,выбыть
184,вываливать,вывалить
185,вываливаться,вывалиться
186,вываливаться,вываляться
187,выведывать,выведать
188,выверять,выверить
189,выветриваться,выветриться
190,вывешивать,вывесить
191,вывешивать,вывешить
192,выводить,вывести
193,вывозить,вывезти
