root,prefixes
пас_INFN,"['у', 'при', 'рас', 'на', 'до', 'вы', 'от', 'по', 'нис', 'про', 'о', 'в', 'за', 'пере', 'с']"
перед_ADJF,[]
крыл_INFN,"['вос', 'вс', 'о', 'бес']"
лядун_NOUN,[]
бур_INFN,"['о', 'за', 'вы', 'раз', 'на', 'по']"
жил_VERB,[]
торопл_PRTF,['по']
слов_NOUN,"['у', 'преди', 'после', 'по']"
дых_ADJF,"['вы', 'при', 'в', 'без']"
рам_NOUN,['под']
щип_PRTF,"['за', 'от', 'у', 'под', 'со', 'вы', 'на', 'об', 'до', 'ис', 'рас', 'при', 'по', 'пере']"
стир_PRTF,"['про', 'по', 'со', 'на', 'об', 'вы', 'до', 'за', 'от', 'пере']"
слад_ADJF,"['не', 'у']"
центр_ADJF,"['бес', 'де', 'кон', 'экс']"
ферр_ADJF,[]
способн_ADJF,['не']
бав_NOUN,"['до', 'с', 'под', 'у', 'на', 'от', 'при', 'над']"
езж_ADJF,"['при', 'съ', 'не', 'объ', 'за', 'отъ', 'на', 'про', 'въ', 'разъ', 'пере']"
заседа_ADJF,[]
пресс_PRTF,"['на', 'с', 'от', 'за', 'о']"
кок_ADJF,[]
черк_PRTF,"['рас', 'за', 'на', 'от', 'о', 'вы', 'про', 'пере', 'ис', 'по', 'под']"
сверл_ADJF,[]
мышл_INFN,"['из', 'за', 'у', 'вы', 'при', 'по', 'раз', 'с']"
пут_INFN,"['с', 'при', 'в', 'рас', 'о', 'пере', 'по', 'от', 'вы', 'под', 'на', 'со', 'бес']"
фуфаеч_NOUN,[]
мен_INFN,"['про', 'от', 'за', 'под', 'об', 'на', 'в', 'вы', 'из', 'пере', 'по', 'при', 'раз', 'с']"
луж_NOUN,[]
ин_INFN,['за']
саж_INFN,"['от', 'вы', 'по', 'об', 'пере', 'на', 'за', 'в', 'до', 'при', 'про', 'о', 'под', 'рас', 'у']"
тамиль_ADJF,[]
снетк_ADJF,[]
вод_NOUN,"['с', 'от', 'со', 'про', 'сверх', 'контр', 'при', 'пере', 'об', 'па', 'под', 'за', 'вы', 'на', 'раз', 'в', 'пре', 'орг', 'не', 'до', 'у', 'по', 'из']"
ше_NOUN,"['пред', 'пере', 'вос', 'за', 'с', 'от', 'нис', 'о', 'со', 'под', 'проис', 'при', 'на']"
отъя_INFN,[]
оборач_INFN,[]
дож_NOUN,[]
теш_INFN,"['рас', 'по', 'на', 'у']"
мер_NOUN,"['у', 'раз', 'из', 'изо', 'рас', 'от', 'об', 'со', 'о', 'чрез', 'де', 'не', 'до', 'про', 'микро', 'контр', 'на', 'при', 'без', 'вы', 'за']"
станиоль_NOUN,[]
клевет_NOUN,[]
швыр_PRTF,"['по', 'до', 'у', 'рас', 'за', 'пере', 'на', 'от', 'вы']"
метр_NOUN,"['микро', 'изо', 'аб']"
патриот_ADJF,['анти']
шварт_INFN,"['за', 'при', 'о', 'от']"
рог_INFN,['о']
сепарат_ADJF,[]
сот_NOUN,['у']
луч_NOUN,"['раз', 'из', 'об', 'от', 'не', 'пере']"
колоратур_NOUN,[]
стро_ADJF,"['за', 'не', 'до', 'над', 'по', 'при', 'у', 'анти', 'пере', 'про', 'под']"
план_NOUN,"['пере', 'би', 'рас', 'пром', 'бес', 'вне', 'за']"
чих_INFN,"['на', 'про', 'от', 'рас', 'вы', 'за', 'по']"
промышл_NOUN,"['из', 'о']"
дел_PRTF,"['под', 'до', 'по', 'на', 'вы', 'у', 'об', 'не', 'пере', 'воз', 'в', 'за', 'при', 'с', 'о', 'раз', 'распре', 'от', 'про']"
мин_NOUN,"['за', 'раз', 'про', 'контр', 'об', 'на']"
кор_INFN,"['пере', 'у', 'о']"
звер_NOUN,['о']
центр_NOUN,"['суб', 'за', 'де', 'кон', 'экс']"
тяж_NOUN,"['вы', 'рас', 'про', 'об', 'на', 'у', 'от', 'пере', 'под', 'в', 'за', 'с', 'при']"
кульмин_ADJF,[]
баз_NOUN,['пере']
звон_INFN,"['раз', 'по', 'от', 'со', 'рас', 'тре', 'про', 'за', 'на', 'пере', 'вы', 'об', 'до']"
тиран_NOUN,[]
пре_NOUN,['о']
гряз_PRTF,"['пере', 'из', 'за', 'на', 'по']"
вер_NOUN,"['по', 'не', 'до', 'у', 'про', 'аб', 'с', 'без', 'раз', 'вы', 'за', 'из', 'пере']"
лич_INFN,"['у', 'за', 'с', 'о', 'без', 'раз', 'об', 'от']"
тык_PRTF,"['у', 'рас', 'ис', 'на', 'об', 'не', 'с']"
люб_ADJF,"['не', 'по', 'в']"
факел_NOUN,[]
эквивалент_ADJF,['не']
кос_INFN,"['до', 'про', 'вы', 'пере', 'о', 'на', 'под', 'при', 'об', 'от', 'со']"
съем_NOUN,"['пере', 'за', 'микро', 'макро']"
опек_NOUN,['со']
свет_ADJF,"['рас', 'про', 'все', 'у', 'без', 'пре', 'бес', 'до', 'пред', 'сверх', 'о', 'суб', 'на']"
узд_PRTF,"['вз', 'за', 'об', 'раз']"
воз_NOUN,"['вы', 'вз', 'от', 'с', 'из', 'по', 'за', 'раз', 'в', 'под', 'пере', 'при', 'у', 'об', 'на', 'про']"
пись_NOUN,"['о', 'за', 'пере', 'про']"
квит_INFN,"['рас', 'от', 'с', 'по']"
мет_INFN,"['под', 'раз', 'у', 'в', 'про', 'пере', 'вз', 'с', 'от', 'при', 'за', 'вы', 'до', 'по', 'об', 'на']"
руд_ADJF,"['о', 'не']"
влия_ADJF,[]
транспорт_ADJF,"['бес', 'под']"
брашпил_ADJF,[]
мал_ADVB,"['по', 'с', 'ыз', 'ни']"
гад_ADJF,"['не', 'за', 'раз']"
бор_ADJF,"['с', 'за', 'пере', 'на', 'у', 'пред', 'вы', 'от', 'раз', 'под', 'не', 'пре', 'о', 'после', 'без', 'по', 'при', 'про']"
тез_NOUN,['анти']
бур_ADJF,"['с', 'ис', 'без']"
кош_PRTF,"['рас', 'вы', 'за', 'об', 'по', 'о', 'от', 'под', 'про', 'пере', 'на', 'до', 'с']"
дал_INFN,"['от', 'у']"
интерпелл_NOUN,[]
дубл_INFN,"['за', 'с']"
мор_GRND,[]
халат_NOUN,[]
уч_ADJF,"['на', 'квази', 'не', 'из', 'за', 'по', 'об', 'анти', 'до']"
