root,suffixes
пас_INFN,"['ти', 'ть']"
перед_ADJF,"['н', 'ов']"
крыл_INFN,['ть']
лядун_NOUN,['к']
бур_INFN,['ть']
жил_VERB,[]
торопл_PRTF,['енн']
слов_NOUN,"['и', 'ниц', 'ен', 'ом', 'к', 'ечк', 'ес', 'ц', 'ник', 'иц', 'ар', 'ост']"
дых_ADJF,"['тельн', 'н', 'нн']"
рам_NOUN,"['к', 'ник', 'ок']"
щип_PRTF,"['т', 'нн', 'ющ']"
стир_PRTF,"['т', 'нн', 'авш', 'анн']"
слад_ADJF,"['к', 'н', 'еньк', 'ат']"
центр_ADJF,"['н', 'ичн', 'ическ', 'ий', 'ск', 'ов', 'анн', 'онн', 'еск']"
ферр_ADJF,"['ов', 'н']"
способн_ADJF,"['зн', 'ент', 'еж', 'н']"
бав_NOUN,"['ок', 'ник', 'к']"
езж_ADJF,"['енн', 'ен', 'л']"
заседа_ADJF,['ск']
пресс_PRTF,"['нн', 'анн', 'авш', 'ующ']"
кок_ADJF,['ов']
черк_PRTF,"['т', 'нн', 'авш', 'ающ']"
сверл_ADJF,"['н', 'ов', 'ен']"
мышл_INFN,['ть']
пут_INFN,['ть']
фуфаеч_NOUN,['к']
мен_INFN,"['ть', 'ив']"
луж_NOUN,"['айк', 'ек', 'иц', 'ок', 'ени']"
ин_INFN,['ть']
саж_INFN,"['ть', 'ив']"
тамиль_ADJF,['ск']
снетк_ADJF,['ов']
вод_NOUN,"['чик', 'овк', 'ств', 'ен', 'ость', 'ниц', 'еств', 'н', 'ени', 'чиц', 'к', 'ок', 'тель', 'ник', 'иц', 'у', 'ик', 'ян', 'ск', 'ин', 'ец', 'я', 'ырь', 'ем', 'ител', 'ост', 'ил', 'ыр']"
ше_NOUN,"['и', 'ек', 'ин', 'ник', 'ниц', 'ищ']"
отъя_INFN,['ть']
оборач_INFN,['ть']
дож_NOUN,[]
теш_INFN,['ть']
мер_NOUN,"['к', 'ость', 'н', 'от', 'ени', 'ен', 'тель', 'и', 'ни', 'аци', 'ин', 'атор', 'ник', 'л', 'ок', 'ост', 'щик']"
станиоль_NOUN,[]
клевет_NOUN,"['ниц', 'ник']"
швыр_PRTF,"['нн', 'т']"
метр_NOUN,"['ит', 'и', 'к', 'аж', 'ий', 'ци', 'ни', 'ист', 'а']"
патриот_ADJF,"['ичн', 'ическ', 'еск']"
шварт_INFN,['ть']
рог_INFN,['ть']
сепарат_ADJF,"['ск', 'н', 'ивн']"
сот_NOUN,"['к', 'яг', 'н', 'ец', 'ск', 'ик', 'ств', 'ник']"
луч_NOUN,"['ин', 'а', 'ени', 'ниц', 'тель', 'ик', 'ев', 'ник', 'к', 'ушк']"
колоратур_NOUN,[]
стро_ADJF,"['тельн', 'ск', 'енн', 'н', 'ев']"
план_NOUN,"['к', 'а', 'изм', 'ист', 'ик', 'ер', 'ост', 'ани']"
чих_INFN,['ть']
промышл_NOUN,"['ость', 'ик', 'ник']"
дел_PRTF,"['нн', 'енн', 'ящ', 'им', 'ивш', 'анн', 'ем', 'явш', 'ющ']"
мин_NOUN,"['к', 'ец', 'ни', 'ер']"
кор_INFN,['ть']
звер_NOUN,"['ец', 'щик', 'енок', 'ок', 'еныш', 'ни', 'юшк', 'ств', 'ек', 'юг', 'ушк']"
центр_NOUN,"['ни', 'к', 'изм', 'аль', 'ист', 'ал', 'аци', 'ат', 'ост', 'ани', 'ик']"
тяж_NOUN,"['к', 'чик', 'чиц', 'тель', 'ел', 'ени', 'ий', 'б', 'ост', 'ест']"
кульмин_ADJF,['онн']
баз_NOUN,"['аци', 'ни', 'к', 'в', 'ис', 'ани']"
звон_INFN,['ть']
тиран_NOUN,"['и', 'ств', 'к']"
пре_NOUN,"['ль', 'ость', 'ни', 'ин']"
гряз_PRTF,"['енн', 'ш', 'вш', 'явш', 'ем', 'ющ', 'авш', 'ающ']"
вер_NOUN,"['изм', 'к', 'ец', 'щик', 'и', 'ени', 'тель', 'ств', 'ость', 'ост']"
лич_INFN,['ть']
тык_PRTF,"['нн', 'ем']"
люб_ADJF,"['ив', 'н', 'ск', 'ящ', 'чив', 'им', 'езн']"
факел_NOUN,[]
эквивалент_ADJF,['н']
кос_INFN,['ть']
съем_NOUN,"['к', 'ник', 'щик', 'ц', 'щиц']"
опек_NOUN,"['ун', 'ств']"
свет_ADJF,"['ейш', 'н', 'тельн', 'ск', 'л', 'ов', 'ий', 'ок', 'ящ']"
узд_PRTF,['нн']
воз_NOUN,"['к', 'чик', 'нич', 'ел', 'ишк', 'юч', 'ниц', 'ок', 'ищ', 'еств', 'ник', 'чиц', 'н']"
пись_NOUN,"['ец', 'н', 'ени', 'ость', 'ен', 'ишк', 'ник']"
квит_INFN,['ть']
мет_INFN,['ть']
руд_ADJF,"['н', 'л']"
влия_ADJF,['тельн']
транспорт_ADJF,"['н', 'абельн']"
брашпил_ADJF,['ев']
мал_ADVB,"['у', 'ость', 'о', 'еньк']"
гад_ADJF,"['нн', 'к', 'н', 'тельн', 'еньк', 'юч']"
бор_ADJF,"['н', 'еск', 'чив', 'ист', 'ск', 'им', 'чат', 'енн', 'ов', 'ческ']"
тез_NOUN,"['ств', 'ис']"
бур_ADJF,"['ск', 'ов', 'н', 'оват', 'ев', 'ав', 'а', 'ат']"
кош_PRTF,['енн']
дал_INFN,['ть']
интерпелл_NOUN,"['яци', 'янт']"
дубл_INFN,['ть']
мор_GRND,['н']
халат_NOUN,"['ик', 'ник']"
уч_ADJF,"['н', 'енн', 'тельн', 'ск', 'ен', 'ий', 'еск']"
фтор_PRTF,['енн']
вя_ADJF,"['н', 'л']"
реферат_NOUN,[]
плоч_PRTF,['енн']
сал_INFN,['ть']
цыпл_NOUN,"['ек', 'ник', 'ниц', 'к', 'енок', 'ин']"
меж_PRTF,"['ющ', 'нн', 'ий', 'енн']"
па_INFN,['ть']
кварталь_ADJF,['н']
прям_ADJF,"['тельн', 'еньк', 'оньк']"
коп_INFN,"['ть', 'н']"
хуль_ADJF,['н']
ять_NOUN,[]
глуш_INFN,['ть']
ха_NOUN,['ни']
мэрон_ADJF,['ов']
рыв_NOUN,"['ок', 'ник', 'ни', 'к', 'ек', 'ость', 'тель', 'ост', 'ани']"
клуб_NOUN,"['ник', 'ец', 'а', 'ок', 'ек', 'ом', 'ниц']"
кучер_NOUN,[]
полз_ADVB,['ом']
стро_NOUN,"['ени', 'ец', 'ик', 'тель', 'ник', 'ость', 'ств', 'иц', 'щин', 'ниц', 'я', 'ост', 'ител']"
пород_NOUN,['ость']
майолик_ADJF,['ов']
бег_NOUN,"['ок', 'к', 'ств', 'отн', 'ун', 'нь', 'ов', 'ани', 'ь']"
вояж_NOUN,"['ни', 'ер', 'к']"
шлифов_NOUN,"['щик', 'ни', 'щиц', 'к']"
к_ADJF,[]
пуст_INFN,['ть']
сапож_NOUN,"['к', 'ник', 'ищ']"
корм_NOUN,"['к', 'ыш', 'ил', 'ок', 'ушк', 'ч', 'иц', 'щик', 'ец', 'ц']"
люб_NOUN,"['ец', 'тель', 'и', 'чик', 'иц', 'овь', 'ств', 'ниц', 'ик', 'ник', 'щин', 'ушк', 'к', 'ни', 'зн', 'ост', 'ц', 'ител', 'ов']"
модел_NOUN,"['изм', 'ист', 'к', 'ани']"
член_ADJF,"['н', 'ист', 'овн', 'ск', 'енн']"
глаз_ADJF,"['н', 'аст', 'чат', 'л']"
лет_NOUN,"['и', 'ни', 'к', 'ок', 'унь', 'ник', 'чик', 'чиц', 'ун', 'ом', 'есть', 'яг', 'ик', 'ость', 'ств']"
лист_INFN,['ть']
контрибуци_NOUN,[]
против_NOUN,"['ник', 'ниц']"
школ_NOUN,"['яр', 'ят', 'ств']"
ботв_NOUN,"['инь', 'ник']"
ловл_INFN,['ть']
граф_NOUN,"['и', 'ист', 'ик', 'ни', 'ств', 'к', 'ем', 'еди', 'ат', 'ин', 'изм']"
мешк_ADJF,"['оват', 'отн']"
шлифова_INFN,['ть']
хваль_ADJF,['н']
терап_NOUN,"['и', 'евт']"
сатир_ADJF,"['ическ', 'еск', 'ичн']"
бел_INFN,"['ть', 'ив']"
новл_PRTF,"['енн', 'явш', 'ем', 'ющ']"
выш_NOUN,"['ени', 'ин', 'к', 'н', 'ост']"
мор_INFN,['ть']
род_ADJF,"['н', 'ящ', 'енн', 'ов', 'ев', 'им', 'ск', 'еск', 'ильн', 'ит']"
завис_ADJF,"['им', 'ящ']"
кос_NOUN,"['оньк', 'ок', 'иц', 'ин', 'инк', 'ни', 'к', 'ец', 'ник', 'ость', 'ушк', 'ищ', 'у', 'ть', 'чик', 'ени', 'ар', 'ост', 'ц', 'як']"
пампас_ADJF,"['ск', 'ов', 'н']"
полем_NOUN,"['ик', 'ист', 'к']"
нов_ADVB,[]
шлюз_ADJF,"['ов', 'н']"
верг_INFN,"['ть', 'н']"
плот_NOUN,"['ик', 'иц', 'к', 'щик', 'в', 'ост', 'ени']"
механ_PRTF,['нн']
голод_ADJF,['н']
англий_ADVB,['ск']
щит_ADJF,"['ов', 'н']"
рельеф_NOUN,[]
копт_NOUN,"['н', 'к', 'тель']"
пеш_ADVB,['ком']
цел_ADJF,"['ев', 'н', 'им', 'ов', 'инн']"
брызг_INFN,['ть']
ращ_NOUN,"['ни', 'ени']"
стом_NOUN,['ит']
един_NOUN,"['ени', 'ств', 'иц', 'к', 'тель', 'ок', 'ост']"
фронт_NOUN,"['к', 'ик', 'ост', 'ит', 'он']"
нитр_NOUN,"['ит', 'аци', 'ид', 'он', 'ат', 'ил', 'ни', 'оз']"
крекер_NOUN,[]
цит_NOUN,"['оз', 'еств', 'ат', 'аци', 'ни']"
мед_ADJF,"['ист', 'ян', 'н', 'ов', 'вян', 'ицк']"
офицер_ADJF,['ск']
лепет_INFN,['ть']
матрич_ADJF,['н']
апелл_ADJF,['онн']
счит_NOUN,['ни']
печ_NOUN,"['ек', 'ени', 'к', 'иц', 'ств', 'тель', 'ниц', 'ев', 'ищ', 'а', 'ост', 'ани', 'ок', 'ат', 'ь', 'еньк', 'ник']"
под_NOUN,"['ин', 'ик']"
пряд_NOUN,"['ев', 'к', 'щик', 'ени', 'н', 'щиц']"
бел_NOUN,"['к', 'ни', 'ик', 'ени', 'н', 'овин', 'изн', 'як', 'ов', 'ек', 'тель', 'ян', 'ец', 'а', 'ост', 'ил', 'щик', 'щиц', 'ок', 'ник', 'уг', 'ин', 'ух']"
брат_NOUN,"['ок', 'ин', 'чик', 'им', 'чин', 'ств', 'ец', 'в', 'ан', 'ик', 'ник', 'ушк', 'и', 'ни', 'ишк', 'к', 'ц', 'ь', 'ов']"
кукуруз_ADJF,['н']
мобиль_NOUN,['ость']
мой_NOUN,"['к', 'щик', 'н', 'щиц', 'ник']"
брод_INFN,['ть']
строч_VERB,['л']
прыг_INFN,"['ть', 'ив', 'н']"
нос_ADJF,"['н', 'ые', 'лив', 'чив', 'ат', 'аст', 'к', 'тельн', 'им', 'ов', 'ящ', 'ильн']"
душ_NOUN,"['иц', 'и', 'к', 'ин', 'ени', 'ость', 'ев', 'еньк', 'ок', 'ечк', 'онк', 'а', 'ост', 'ик', 'ител', 'ь']"
исследова_ADJF,"['нн', 'ск']"
шныр_PRTF,"['енн', 'нн']"
рейх_NOUN,[]
рус_ADJF,"['ск', 'л', 'н', 'ий']"
толк_NOUN,"['ун', 'чик', 'тель', 'к', 'щин', 'ени', 'ани', 'н']"
квел_ADJF,[]
пек_PRTF,"['ий', 'ш', 'ущ']"
инфиц_INFN,['ть']
